idn,akz,bbg,standort,signatur_g,signatur_a,titel,stuecktitel,umfang,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,einrichtung,exemplar
1000933296,L-1519-171699971,Aal,DBSM/M/Klemm,"III 2 B, 1","III 2 B, 1",Montisferrati|| Marchionum et Prin=||cipu[m] Regie propagi=||nis : successionu[m]qz|| series nuper|| elucida=||ta, : ,"[65] Bl., Sig., [a4], b-q4; [r1?]",,,,,,,,"Französ. Einband für Jean Baptiste Colbert, ohne Superexlibris, Ende 17. Jh.; Mit zeitgenöss. Vorbesitzereinträgen",,1,02
999397737,L-1535-168291959,Aal,DBSM/M/Klemm,"III 2,4","III 2,4","ENCHI=||RIDION|| AD VERBORVM CO||Piam haud infrugiferu[m] multo|| quàm antea auctius ema||culatiusq[ue], Theo||dorico M||orello|| Campano au||tore : ", : ,"[8], 110 Bl.",,,,,,,,Autopsie 12.6.2019,,1,02
1066859469,L-1502-315318171,Aaf,DBSM/M/Klemm,"III 2, 1","III 2, 1",Dit is den duytsche souter. : En op een yeghelycke psalm sinen titel. die verclarede is die crachten en duechden des psalmes, : ,[199] Bl. zu 21 Zeilen,,,,,,,,Autopsie bei Allegro-Katalogisierung und 12.6.2019,,1,02
1066859000,L-1534-315317728,Aaf,DBSM/M/Klemm,"III 2, 2","III 2, 2","Den @Bibel : met grooter neersticheyt gecorrigeert, en op die canten gheset den ouderdom der werelt, ende hoe lange die gheschiedenissen ende historie", : ,"Holzschnitt-Titel, [5] Bl. Reg., [448] Bl.",,,,,,,,,,1,02
1003653014,L-1540-180391380,Aal,DBSM/M/Klemm,"III 2, 3","III 2, 3","Rhetoricae ac dialecticae tractatio legalis, nempe: Vdalrici Zasii ... in rhetoricam [M. T. Ciceronis] ad Herennium commentarius : ", : ,"[4] Bl., 276 S., [10] Bl., 175 S., [4] Bl.",,,,,,,,Autopsie 12.6.2019,,1,02
1001530470,L-1555-175067589,Aal,DBSM/M/Klemm,"III 2, 5","III 2, 5",Flores : , : ,"[4] Bl., [4] Bl., 165 Bl., [2] Bl.",,,,,,,,Autopsie 12.6.2019,,1,02
999996789,L-1558-169832023,Aal,DBSM/M/Klemm,"III 2, 6","III 2, 6","Les @Epistres de Phalaris, et dʹIsocrates : ", : ,186 [= 180] Blätter,,,,,,,,Autopsie 12.6.2019,,1,02
998774278,L-1560-166917079,Aal,DBSM/M/Klemm,"III 2, 7","III 2, 7","Litvrgiæ, sive missæ sanctorvm patrvm ... interprete Leone Thusco ... : Quibus accessit ad calcem e libris D. Joannis Chrysostomi, locorum annotatio, ", : ,"210 S., [1] Bl., [1 leeres] Bl.",,,,,,,,Autopsie 7.6.2019,,1,02
994470045,L-1560-156009854,Aal,DBSM/M/Klemm,"III 2, 8","III 2, 8","Catullus, Tibullus, Propertius, Cor. Galli fragmenta : Omnia ex vetust. exempl. multò, quàm anteà emendatiora, additis annot.", : ,"[2], 144 Bl.",,,,,,,,,,1,02
1066835527,L-1501-315295473,Aaf,DBSM/M/Klemm,"III 3, 1","III 3, 1",Das @buch jst genant|| Die Hymelstraß.|| : , : ,"Clxvij, [6] Bl.",,,,,,,,,,1,02
