idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,bibliothek,einrichtung,exemplar
010105514,L-1829-168006324,Abvz,DBSM/F/Bö,Bö D VII 274,Bö D VII 274,1829,"Musikalisch-literarischer Monatsbericht über neue Musikalien, musikalische Schriften und Abbildungen : ",",  : , ","976851474, 986176931",,,,,,,,,009030115,1,02
010146725,L-1811-168005948,Abvz,DBSM/F/Bö,Bö D II 40,Bö D II 40,1811,"Allgemeiner typographischer Monats-Bericht für Teutschland : zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",", , , , , , , , , , , , , , , , , , , , , , ,  : , , , , , , , , , , , , , , , , , , , , , , , ","99340474X, 99340474X, 99340474X, 99340474X, 99340474X, 99340474X, 99340474X, 99340474X, 99340474X, 99340474X, 99340474X, 99340474X, 1046052918, 1046052918, 1046052918, 1046052918, 1046052918, 1046052918, 1046052918, 1046052918, 1046052918, 1046052918, 1046052918, 1046052918",,013018086,,,,,,,009030115,1,02
011199334,L-1822-167293834,Abvz,DBSM/F/Bö,Bö C V 88,Bö C V 88,1822,Neues lausitzisches Magazin : , : ,999745751,,,,,,,,,009030115,1,02
011244518,L-1765-15474509X,Abvz,DBSM/F/Bö,Bö C VII 1821,Bö C VII 1821,1765,Allgemeine deutsche Bibliothek : , : ,025303007,02702105X,,,,,,,,009030115,1,05
011244518,L-1765-382839277,Abvz,DBSM/F/Bö,Bö C VII 1821,Bö C VII 1821,1765,Allgemeine deutsche Bibliothek : , : ,025303007,02702105X,,,,,,,,009030115,1,06
011244526,L-1793-154742724,Abvz,DBSM/F/Bö,Bö C VII 1821 a,Bö C VII 1821 a,1793,Neue allgemeine deutsche Bibliothek : , : ,027021106,,,,,,,,,009030115,1,02
011244526,L-1793-382839226,Abvz,DBSM/F/Bö,Bö C VII 1821 a,Bö C VII 1821 a,1793,Neue allgemeine deutsche Bibliothek : , : ,027021106,,,,,,,,,009030115,1,03
011324651,L-1827-18130824X,Abvz,DBSM/F/Bö,Bö B II 252,Bö B II 252,1827,Skírnir : tímarit hins islenzka bókmenntafélags,",  : , ","988118645, 1046058606",,,,,,,,,009030115,1,02
011736070,L-1730-163500347,Abvz,DBSM/F/Bö,Bö F III 795,Bö F III 795,1730,"Historia litteraria, or an exact and early account of the most valuable books published in the several parts of Europe : ", : ,993920373,,,,,,,,,009030115,1,02
01187922X,L-1766-163026556,Abvz,DBSM/F/Bö,Bö C V 619,Bö C V 619,1766,Johann Georg Hagers ... geographischer Büchersaal : zum Nutzen und Vergnügen eröfnet, : ,1068498366,,,,,,,,,009030115,1,02
