idn,akz,bbg,standort,signatur_g,signatur_a,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,einrichtung,exemplar
1047218887,L-1491-283710691,Aal,DBSM/M/Boe,Bö Ink 253,Bö Ink 253,"Turandement van der munten [Münzvertrag,  Löwen, 10.IV.1491, d.i. 10.4.1492] @[GW] : ", : ,,,,,,,,bisher ohne Sig. im Inkunabelkat. geführt,,1,02
1047477246,L-1476-285513311,Aa,DBSM/M/Bö,Bö Ink 254 - Fragm.,Bö Ink 254 - Fragm.,Opera : , : ,,,,,,,,,,1,02
1047569779,L-1474-285623974,Aa,DBSM/M/Bö,Bö Ink 255 - Fragm.,Bö Ink 255 - Fragm.,Speculum historiale : , : ,,,,,,,,,,1,02
1047877775,L-1495-286290367,Aa,DBSM/M/Bö,Bö Ink 258 - Fragm.,Bö Ink 258 - Fragm.,Formularium instrumentorum : , : ,,,,,,,,"rubriziert, rote Lombarden",,1,02
1047878534,L-1496-286290782,Aa,DBSM/M/Bö,Bö Ink 259 - Fragm.,Bö Ink 259 - Fragm.,Theologica emphasis : , : ,,,,,,,,,,1,02
1047897032,L-1499-28632282X,Aa,DBSM/M/Bö,Bö Ink 260 - Fragm.,Bö Ink 260 - Fragm.,Missale dominorum Teutonicorum : , : ,,,,,,,,,,1,02
1048059340,L-1493-286685353,Aa,DBSM/M/Bö,Bö Ink 256 - Fragm.,Bö Ink 256 - Fragm.,Missale Ratisponense : , : ,,,,,,,,,,1,02
104816313X,L-1479-286784718,Aa,DBSM/M/Bö,Bö Ink 261 - Fragm.,Bö Ink 261 - Fragm.,Decretales : , : ,,,,,,,,,,1,02
1048164535,L-1483-287401766,Aa,DBSM/M/Bö,Bö Ink 91,Bö Ink 91,"Biblia, deutsch : ", : ,,,,,,,,In 2 Bd.,,1,01
1048164535,L-1483-286785641,Aa,DBSM/M/Bö,Bö Ink 262 - Fragm.,Bö Ink 262 - Fragm.,"Biblia, deutsch : ", : ,,,,,,,,,,1,02
1048166694,L-1484-286786516,Aa,DBSM/M/Bö,Bö Ink 263 - Fragm.,Bö Ink 263 - Fragm.,Missale Romanum : , : ,,,,,,,,,,1,03
