idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,bibliothek,einrichtung,exemplar
1066965390,L-1487-375331115,Aa,DBSM/M/Klemm,"II 90,1a - [17] Fragm. (ÜF / 4. OG: R73A/10/1)","II 90,1a - [17] Fragm.",,Summa theologica : P. 1-4, : ,,,,1066941572,Qd,,,,,,1,04
1066965390,L-1487-375331115,Aa,DBSM/M/Klemm,"II 90,1a - [12] Fragm. (ÜF / 4. OG: R73A/10/1)","II 90,1a - [12] Fragm.",,Summa theologica : P. 1-4, : ,,,,1066941572,Qd,,,,,,1,03
1066963428,L-1500-315493674,Aaf,DBSM/M/Klemm,"II 30,13 m","III 60,7; II 30,13 m",,Breviarium Moguntinum : , : ,,,,,,,,,,,1,02
1066963428,L-1500-315493674,Aaf,DBSM/M/Klemm,"II 30,13 m","III 60,7; II 30,13 m",,Breviarium Moguntinum : , : ,,,,,,,,,,,1,02
1132093619,L-1500-405944926,Aal,DBSM/M/Klemm,"III 21, 39 (2. angebundenes Werk)","III 21, 39 (2. angebundenes Werk)",,Suma Johannis An-||dree compendiosa et vtilis ordinata sup|| secundo decretaliu. tractans de processu|| Judiciario. atque iuridice se exercere vo||len, : ,,,,1138320404,Qd,,,,,,1,02
1132093619,L-1500-405944926,Aal,DBSM/M/Klemm,"III 21, 39 (2. angebundenes Werk)","III 21, 39 (2. angebundenes Werk)",,Suma Johannis An-||dree compendiosa et vtilis ordinata sup|| secundo decretaliu. tractans de processu|| Judiciario. atque iuridice se exercere vo||len, : ,,,,1138320404,Qd,,,,,,1,02
015172821,L-1575-155960156,Abvz,DBSM/F/Bö,Bö C VIII 117 Ab a,Bö C VIII 117 Ab a,1575,Catalogus novus nundinarum ... Francofurti ad Moenum ... celebratarum : , : ,,,,,,,,,,009030115,1,07
015172821,L-1575-155960156,Abvz,DBSM/F/Bö,Bö C VIII 117 a,Bö C VIII 117 a,1575,Catalogus novus nundinarum ... Francofurti ad Moenum ... celebratarum : , : ,,,,,,,,,,009030115,1,03
1138366714,L-1588-315493461,Qd,DBSM/M/Bö,Bö M 241,Bö M 241,,Sammelband : , : ,,,,,,,,,,,1,02
1066963185,L-1588-315493461,Aaf,DBSM/M/Boe,Bö M 241,Bö M 241,,"[METHODICA|| INSTITUTIO-||NUM JURIS CIVILIS|| Justinianéi Analysis,|| Cum oratione|| DE STUDIO JURIS RECTE|| instituendo:|| AUCTORE|| BERNHARDO COPIO,", : ,,,,1138366714,Qd,,,,,,1,02
1138366714,L-1588-315493461,Qd,DBSM/M/Bö,Bö M 241,Bö M 241,,Sammelband : , : ,,,,,,,,,,,1,02
1066963185,L-1588-315493461,Aaf,DBSM/M/Boe,Bö M 241,Bö M 241,,"[METHODICA|| INSTITUTIO-||NUM JURIS CIVILIS|| Justinianéi Analysis,|| Cum oratione|| DE STUDIO JURIS RECTE|| instituendo:|| AUCTORE|| BERNHARDO COPIO,", : ,,,,1138366714,Qd,,,,,,1,02
1003897053,L-1591-181147939,Aal,DBSM/M/Bö,Bö M 353/8°,Bö M 353/8°,,"Antiquae Historiae ex 27 autoribus contextae libri 6, totidem solennes temporum epochas continentae : ", : ,,,,1140935909,Qd,,,hist. Einbd,,,1,02
1140935909,L-1591-181147939,Qd,DBSM/M/Bö,Bö M 353/8°,Bö M 353/8°,,Sammelband mit zwei Werken von Denis Godefroy : , : ,,,,,,,,hist. Einbd,,,1,02
114093676X,L-1591-181147939,Aal,DBSM/M/Bö,Bö M 353 (angebunden),Bö M 353 (angebunden),,"Historiae Antiqvae pars altera De imperatoribvs Romanis, Liber IIII, A Iulio Caesare ad diuisum Imperium, sub Constantino Irenes, & Carolo Magno. Libe", : ,,,,1140935909,Qd,,,,,,1,02
114093676X,L-1591-181147939,Aal,DBSM/M/Bö,Bö M 353 (angebunden),Bö M 353 (angebunden),,"Historiae Antiqvae pars altera De imperatoribvs Romanis, Liber IIII, A Iulio Caesare ad diuisum Imperium, sub Constantino Irenes, & Carolo Magno. Libe", : ,,,,1140935909,Qd,,,,,,1,02
1003897053,L-1591-181147939,Aal,DBSM/M/Bö,Bö M 353/8°,Bö M 353/8°,,"Antiquae Historiae ex 27 autoribus contextae libri 6, totidem solennes temporum epochas continentae : ", : ,,,,1140935909,Qd,,,hist. Einbd,,,1,02
1140935909,L-1591-181147939,Qd,DBSM/M/Bö,Bö M 353/8°,Bö M 353/8°,,Sammelband mit zwei Werken von Denis Godefroy : , : ,,,,,,,,hist. Einbd,,,1,02
998614572,L-1716-166591750,Aal,DBSM/F/Bö,Bö C VIII 783/4°,Bö C VIII 783/4°,1716,"Catalogus neuer Bücher von der Franckfurter und Leipziger Oster-Messe 1716, so bey Gottfried Leschen, Buchhändlern in Dreßden und Budißin zu haben sin", : ,,,,,,,,Bruchstück!,,,1,02
998614572,L-1716-166591750,Aal,DBSM/F/Bö,Bö C VIII 783a/4°,Bö C VIII 783a/4°,1716,"Catalogus neuer Bücher von der Franckfurter und Leipziger Oster-Messe 1716, so bey Gottfried Leschen, Buchhändlern in Dreßden und Budißin zu haben sin", : ,,,,,,,,nur Bl. A u. anhäng. Blatt,,,1,03
1132656737,L-1751-406972443,Af,DBSM/M/Klemm,"IV 33, 8","IV 33, 8",1751,Mémoires pour servir à l' histoire de la maison de Brandebourg,Pt. 1. : ,,,,,,,,,,,1,02
1132656745,L-1751-406972443,Af,DBSM/M/Klemm,"IV 33, 8","IV 33, 8",1751,Mémoires pour servir à l' histoire de la maison de Brandebourg,Pt. 2. : ,,,,,,,,,,,1,02
1132656737,L-1751-406972443,Af,DBSM/M/Klemm,"IV 33, 8","IV 33, 8",1751,Mémoires pour servir à l' histoire de la maison de Brandebourg,Pt. 1. : ,,,,,,,,,,,1,02
1132656745,L-1751-406972443,Af,DBSM/M/Klemm,"IV 33, 8","IV 33, 8",1751,Mémoires pour servir à l' histoire de la maison de Brandebourg,Pt. 2. : ,,,,,,,,,,,1,02
1139391216,L-1756-417795483,Af,DBSM/M/Klemm,"IV 291, 20 a - 1756","IV 291, 20 a - 1756",1756,"Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts","T. 1, 1756, Juillet-Decembre : ",,,,,,,,,,,1,01
