idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,bibliothek,einrichtung,exemplar
103388085X,L-1789-260772291,Ha,DBSM/M/Klemm,"I, 242","I, 242",1789,Stammbuch von Carl Schwantke : , : ,,,,,,,,,,,1,02
1043189904,L-2013-325153,Ha,DBSM/M/Klemm,"I, 247","I, 247",1670,Philosophiae totius juxta mentem Aristotelis institutio : , : ,,,,,,,,,,,1,01
1046158244,L-1811-280576692,Ha,DBSM/M/Klemm,"I, 248","I, 248",1811,Christliches Gebetbuch : , : ,,,,,,,,,,,1,02
1046761668,L-1827-281672075,Hal,DBSM/M/Klemm,"I, 251","I, 251",1827,Schreibebuch für B. C. Häntzschel : , : ,,,,,,,,,,,1,01
1047319721,L-2014-301145,Ha,DBSM/M/Klemm,"I, 254","I, 254",1809,[Schreibheft] : , : ,,,,,,,,,,,1,02
1047320207,L-2014-301149,Ha,DBSM/M/Klemm,"I, 255","I, 255",1809,Erinnerung aus der Schule für Louisa Wilhelmine Schuwardtin : , : ,,,,,,,,Reste einer Buntpapier-Broschur,,,1,02
104732394X,L-2014-301153,Ha,DBSM/M/Klemm,"I, 256","I, 256",1806,[Schreibheft] : , : ,,,,,,,,,,,1,02
1047325071,L-2014-301157,Ha,DBSM/M/Klemm,"I, 257","I, 257",1827,Erste Schreibversuche : , : ,,,,,,,,,,,1,02
1047765748,L-1790-286165570,Hal,DBSM/M/Klemm,"I, 260","I, 260",1790,Andächtige Gebetter eines frommen Christen um stete Vereinigung mit dem Willen Gottes : , : ,,,,,,,,,,,1,02
1053356994,L-1785-294529586,Hal,DBSM/M/Klemm,"I, 261","I, 261",1785,Simpathische Curen : , : ,,,,,,,,,,,1,02
1053443854,L-1747-29458241X,Ha,DBSM/M/Klemm,"I, 263","I, 263",1747,Sammlung verschiedener den jetzigen Zustand von Europa besondes aber von Deutschland vorgekommener Weißsagungen mit nöthigen Anmerckungen versehen : , : ,,,,,,,,,,,1,01
105443400X,L-1675-296224499,Ha,DBSM/M/Klemm,"I, 264","I, 264",1675,"Innungs-Artickel der Glaser zu Schwartzenberg : [Kopie der Urkunde von Johann Georg Herzog von Sachsen, gegeben zu Dresden am 6. Mai 1673, mit notarie", : ,,,,,,,,,,,1,02
1064678718,L-1390-311716660,Hal,DBSM/M/Klemm,"I, 103","I, 103",1390,Rerum senilium libri : , : ,,,,106467979X,Qd,,,"Digitalisat beim Qd-Satz; im November 1982 in der Werkstatt des DBSM restauriert, dabei schadhafte Seiten angefasert (z. B. Bl. 1, 19, 36, 37, 66-67, 78-79) und neu gebunden. Bl. 1-36 Feuchtigkeitsflecken am Schnitt, weiterhin einzelne Bll. fleckig. Bl. 25/26 Löcher im Papier. Rot der Initialen schlägt z. T. durch (z. B. 7r, 52r, 82r)",,,1,02
106467979X,L-9999-311717314,Qd,DBSM/M/Klemm,"I, 103","I, 103",1390,[Mittelalterliche Sammelhandschrift] : , : ,,1072654547,,,,,,"Bl. 1-36 Feuchtigkeitsflecken am Schnitt, weiterhin einzelne Bll. fleckig. Bl. 25/26 Löcher im Papier. Rot der Initialen schlägt z. T. durch (z. B. 7r, 52r, 82r)",,,1,02
1064679994,L-1440-311717403,Hal,DBSM/M/Klemm,"I, 103","I, 103",1440,Epistola posteritati : , : ,,,,106467979X,Qd,,,Digitalisat beim Qd-Satz,,,1,02
1064688462,L-9999-311723594,Qd,DBSM/M/Klemm,"I, 105","I, 105",1459,Vocabularius Ex quo : [grammatikalisch-juristische Sammelhandschrift], : ,,1072654490,,,,a,,"Buchschnitt fleckig. Bl. 12 lose. Flecken auf Bl. 13-17. Zwischen Bl. 99/100 rostige Heftnadel mit Faden; bei einer Restaurierung im 20. Jh. (vor 1954?) Rücken mit modernem braunem gesprenkeltem Leder erneuert. Bei der damit eingehenden Neubindung Vorsatz und Spiegel vorn und hinten aus modernem Papier (Mitte 20. Jh.) eingefügt, hinteres Vorsatz Wz. Buchstaben SP ohne Beizeichen, nicht belegt. Auf dem Rücken grünes Titelschild mit Tintenbeschriftung: „Wertvolle alte Handschrift aus dem 15. Jahrhundert“",,,1,02
1064688993,L-1459-311723772,Hal,DBSM/M/Klemm,"I, 105","I, 105",1459,Cornutus : , : ,,,,1064688462,Qd,a,,Digitalisat beim Qd-Satz,,,1,02
1064689116,L-1461-311723810,Hal,DBSM/M/Klemm,"I, 105","I, 105",1461,Composita verborum : , : ,,,,1064688462,Qd,a,,,,,1,02
1064689280,L-1459-31172390X,Hal,DBSM/M/Klemm,"I, 105","I, 105",1459,[Juristische Merktexte] : Modus legendi abbreviaturas.  Ius canonicum traditur in quatuor. Alphabetum iuris canonici. Modus allegandi iura in canonibu, : ,,,,1064688462,Qd,a,,Digitalisat beim Qd-Satz,,,1,02
1064717942,L-1460-311953670,Hal,DBSM/M/Klemm,"I, 108","I, 108",1460,"[Kalendarium eines französischen Stundenbuches, Bistum Troyes] : ", : ,,1072654415,,,,,,,,,1,02
1064779964,L-1315-311999182,Hal,DBSM/M/Klemm,"I, 110","I, 110",1315,"[Franziskanisches Graduale, Umbrien] : ", : ,,107265444X,,,,m,,,,,1,02
1064850960,L-1481-312060297,Qd,DBSM/M/Klemm,"I, 104","I, 104",1481,[Hagiographische Sammelhandschrift mit Texten zur Heiligen Elisabeth von Thüringen] : , : ,,1222562618,,,,m,,"Hs. wurde der Familie in der DDR-Zeit entzogen und gelangte im Zentralantiquariat zum Verkauf; nach der Wende Gerichtsprozess, der mit Vergleich endete; Hs. ging nach einer Zeit als Depositum ins Eigentum des Dt. Buch- und Schriftmuseums der DNB über (Objektakte vorh.)",,,1,02
1064853412,L-1481-312061498,Ha,DBSM/M/Klemm,"I, 104","I, 104",1481,Dis ist das Leben und die Legend der seligen Sanct Elysabethen des edlen Kunges Tochter von Ungarn die da gemehlet wart von Gottes Ordnung und Willen , : ,,,,1064850960,Qd,m,,,,,1,02
1064854265,L-1481-312061986,Ha,DBSM/M/Klemm,"I, 104","I, 104",1481,Dis noch geschriben ist der sequencý Gaude Syon von der edlen kúnginen vnd heiligedn froewen sanct Elýsabeth : Froewe dich syon dz do von dir yß ist g, : ,,,,1064850960,Qd,m,,,,,1,02
1064854362,L-1481-312062028,Ha,DBSM/M/Klemm,"I, 104","I, 104",1481,Ein @gebëtt von der hochgelobten himmel fúrstinnen vnd lantgrëfinen sanct Elysabeth : , : ,,,,1064850960,Qd,m,,,,,1,02
1064854419,L-1481-312062044,Ha,DBSM/M/Klemm,"I, 104","I, 104",1481,Lob du tochter syon fröwe dich vnd erspring froelich : , : ,,,,1064850960,Qd,m,,,,,1,02
1064854478,L-1481-312062087,Ha,DBSM/M/Klemm,"I, 104","I, 104",1481,Sanct Jheronimus vnd Sanct Augustinus sprechent … : , : ,,,,1064850960,Qd,m,,,,,1,02
1064854583,L-1481-312062141,Ha,DBSM/M/Klemm,"I, 104","I, 104",1481,Gebet von der heiligen Elisabeth : , : ,,,,1064850960,Qd,m,,,,,1,02
1064855571,L-1481-312062818,Ha,DBSM/M/Klemm,"I, 104","I, 104",1481,"[Über den Tod von Margarethe von Ungarn, Bruder Hermann (Dominikaner), Hedwig von Schlesien, Johannes von Wildeshausen] : ", : ,,,,1064850960,Qd,m,,,,,1,02
106547556X,L-1550-313338663,Ha,DBSM/M/Klemm,"I, 106","I, 106",1550,[Niederländisches Andachts- und Gebetbuch] : , : ,,1072654156,,,,,,,,,1,02
1065479042,L-9999-313340781,Ha,DBSM/M/Klemm,(ÜF 4.OG/R73A/10/1),"I, 101",900,[Quattuor evangelia] : , : ,,,,,,d,,,,,1,02
1065481845,L-9999-313343055,Ha,DBSM/M/Klemm,"I, 102","I, 102",900,[Quattuor evangelia] : , : ,,,,,,d,,Gutachten von Kurt Treu beim Objekt,,,1,02
1066674175,L-9999-315062673,Haf,DBSM/M/Klemm,"I, 237","I, 237",1800,[Sammelhandschrift] : , : ,,,,,,,,,,,1,02
1066699739,L-9999-315086947,Haf,DBSM/M/Klemm,"I, 234 (ÜF / 4. OG: R73A/10/1)","I, 234",0,"[Yao-Handschrift, illustriert, im ursprünglichen chinesischen Charakter] : ", : ,,,,,,,,Inhalt nicht bekannt,,,1,02
1066942021,L-1700-315469668,Haf,DBSM/M/Klemm,"I, 229","I, 229",1700,"Wie das Haupt ist, sollen billich auch die Glieder seyn. Wie der Herr, so die Knechte, wie der Vater, so die Kinder : [barockes Schreib-Übungsheft]", : ,,,,,,,,,,,1,02
