idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,bibliothek,einrichtung,exemplar
010752080,L-1961-108342085,Abvz,DBSM/F/Klemm,Af 102,Af 102,0,Catalogue : , : ,,,,,,,,,,009030115,1,02
011741589,L-1720-154743372,Abvz,DBSM/F/Klemm,Ac 13,Ac 13,1720,Bibliothèque germanique ou Histoire littéraire de l'Allemagne de la Suisse  et des Pays du Nord : , : ,1059583976,,,,,,,,,009030115,1,02
011874732,L-1725-171090594,Abvz,DBSM/F/Klemm,Af 266,Af 266,1725,"Bibliotheca chemica, oder catalogus von chymischen Büchern, darinnen man alle diejenigen autores findet ... und in der Roth-Scholtzischen Bibliothèque", : ,,,,,,,,,,009030115,1,02
011876115,L-1768-163243980,Abvz,DBSM/F/Klemm,Ae 22,Ae 22,1768,Nachrichten von Künstlern und Kunst-Sachen : , : ,980031907,,,,,,,,,009030115,1,02
011898704,L-1762-179303457,Abvz,DBSM/F/Klemm,Ad 80,Ad 80,1762,"Altes aus allen Theilen der Geschichte, oder alte Urkunden, alte Briefe, und Nachrichten von alten Büchern, mit Anmerkungen : ", : ,1059588439,,,,,,,,,009030115,1,02
011925582,L-1733-176025642,Abvz,DBSM/F/Klemm,Ac 31,Ac 31,1733,Kurtze Nachricht von den Büchern und deren Urhebern in der Stollischen Bibliothec : , : ,1069969281,,,,,,,,,009030115,1,02
011927712,L-1784-177813466,Abvz,DBSM/F/Klemm,Af 254,Af 254,1784,"Verzeichnis neuer Bücher, welche in der Leipziger ...-Messe und von andern Ländern angeschaffet worden und um beygesetzte billige Preise zu bekommen s", : ,,,,,,,,,,009030115,1,02
011978910,L-1756-154743798,Abvz,DBSM/F/Klemm,Ac 15,Ac 15,1756,Brittische Bibliothek : , : ,986959367,,,,,,,,,009030115,1,02
012370991,L-1746-154743712,Abvz,DBSM/F/Klemm,Ac 14,Ac 14,1746,"Nouvelle bibliothèque germanique ou histoire littéraire de l'Allemagne, de la Suisse et des pays du Nord : ", : ,1059597845,,,,,,,,,009030115,1,02
012631337,L-1784-176400915,Abvz,DBSM/F/Klemm,Aa 10,Aa 10,1784,"Beyträge zur Litteratur, besonders des sechszehnten Jahrhunderts : Freunden der Kirchen-, Gelehrten- und Bücher-Geschichte gewidmet", : ,986539449,,,,,,,,,009030115,1,02
012631418,L-1790-17640094X,Abvz,DBSM/F/Klemm,Aa 11,Aa 11,1790,"Neue Beyträge zur Litteratur, besonders des sechszehnten Jahrhunderts : Freunden der Kirchen-, Gelehrten- und Bücher-Geschichte gewidmet", : ,98654020X,,,,,,,,,009030115,1,02
012663964,L-1710-69977926X,Abvz,DBSM/F/Klemm,Aa 371,Aa 371,1710,"Neuer Bücher-Saal der gelehrten Welt oder Ausführliche Nachrichten von allerhand neuen Büchern und andern Sachen, so zur neuesten Historie der Gelehrs", : ,987063480,,,,,,,,,009030115,1,02
012705934,L-1752-154453218,Abvz,DBSM/F/Klemm,Ad 71,Ad 71,1752,Siegm. Jac. Baumgartens Nachrichten von merkwürdigen Büchern : , : ,1059621363,,,,,,,,,009030115,1,02
