idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,bibliothek,einrichtung,exemplar
010002375,L-1799-15546146X,Abvz,DBSM/M/Klemm,Va 1865,Va 1865,1799,Annalen der Physik : , : ,019727577,026616149,,,,,,,,009030115,1,02
010607846,L-1717-180403893,Abvz,DBSM/M/Klemm,Va 882 - 39,Va 882 - 39,1717,Magdeburgische Zeitung : Anhalter Anzeiger, : ,1046542621,,,,,,,,,009030115,1,03
010607846,L-1717-363110232,Abvz,DBSM/M/Klemm,"Va, 4903","Va, 4903",1717,Magdeburgische Zeitung : Anhalter Anzeiger, : ,1046542621,,,,,,,,,009030115,1,04
01072849X,L-1814-164553711,Abvz,DBSM/M/Klemm,Va 1636,Va 1636,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann : auf das Jahr ..,", , , , , , ,  : , , , , , , , ","012112070, 011992050, 012114278, 012112062, 012112054, 012112046, 019346891, 013653830",1093416165,,,,,,,,009030115,1,02
010743367,L-1827-177056959,Abvz,DBSM/M/Klemm,Va 1958,Va 1958,1827,Theodulia : Jahrbuch für häusliche Erbauung, : ,1059505959,,,,,,,,,009030115,1,02
010743367,L-1827-177056975,Abvz,DBSM/M/Klemm,Va 1958,Va 1958,1827,Theodulia : Jahrbuch für häusliche Erbauung, : ,1059505959,,,,,,,,,009030115,1,03
010747990,L-1828-177644699,Abvz,DBSM/M/Klemm,Va 1027,Va 1027,1828,"Karlsruher Unterhaltungsblatt : e. für alle Stände, Jung u. Alt, interessantes u. belehrendes Bilderwerk", : ,,1239925964,011974265,,,,,,,009030115,1,02
011136510,L-1828-178403512,Abvz,DBSM/M/Klemm,Va 1793,Va 1793,1828,Vielliebchen : historisch-romantisches Taschenbuch, : ,1046054813,,,,,,,,,009030115,1,02
011164743,L-1797-167293826,Abvz,DBSM/M/Klemm,Va 1601,Va 1601,1797,Magazin für den neuesten Zustand der Naturkunde mit Rücksicht auf die dazugehörigen Hülfswissenschaften : ,",  : , ","990921700, 997455047",,,,,,,,,009030115,1,02
011166762,L-1810-177724811,Abvz,DBSM/M/Klemm,Va 1934,Va 1934,1810,Urania : Taschenbuch auf das Jahr ..., : ,1016762895,,,,,,,,,009030115,1,02
011167998,L-1799-176802797,Abvz,DBSM/M/Klemm,"Va, 421","Va, 421",1799,Taschenbuch für Damen : auf das Jahr ..,",  : , ","977723577, 1021202924",,,,,,,,,009030115,1,02
011168110,L-1830-176803645,Abvz,DBSM/M/Klemm,Va 3358,Va 3358,1830,Historisches Taschenbuch : , : ,1016762127,,,,,,,,,009030115,1,02
011201509,L-1817-170485765,Abvz,DBSM/M/Klemm,Va 3630,Va 3630,1817,Reformations-Almanach : auf das Jahr ..., : ,1047432420,,,,,,,,,009030115,1,02
011201509,L-1817-17048582X,Abvz,DBSM/M/Klemm,Va 3630,Va 3630,1817,Reformations-Almanach : auf das Jahr ..., : ,1047432420,,,,,,,,,009030115,1,03
011221844,L-1837-153969407,Abvz,DBSM/M/Klemm,Vu 97,Vu 97,1811,Alpenrosen : auf das Jahr .., : ,1023358727,,014499916,,,,,,,009030115,1,02
011244518,L-1765-192230425,Abvz,DBSM/M/Klemm,"Va, 5644","Va, 5644",1765,Allgemeine deutsche Bibliothek : , : ,025303007,02702105X,,,,,,,,009030115,1,04
011290617,L-1820-40542731X,Abvz,DBSM/M/Klemm,"Va, 4740","Va, 4740",1820,Polytechnisches Journal : , : ,991867076,,,,,,,,,009030115,1,03
011730293,L-1823-43150721X,Abvz,DBSM/M/Klemm,"Vc, 169","Vc, 169",1823,The @Edinburgh almanack or universal Scots and Imperial register : , : ,,,,,,,,,,009030115,1,02
011750200,L-1811-147438187,Abvz,DBSM/M/Klemm,(ÜF / 4. OG: R42/2/1),"Va, 5544",1811,Le @moniteur universel : ,", ,  : , , ","019234368, 018687571, 1046549561",,,,,,,,,009030115,1,02
011879556,L-1815-163158479,Abvz,DBSM/M/Klemm,Va 1971,Va 1971,1815,"Haushaltungs-Kalender : auf d. Gemein-Jahr ... ; für die Königl. Preußischen Provinzen Brandenburg, Pommern u. Sachsen", : ,,,,,,,,,,009030115,1,02
011947144,L-1829-167915460,Abvz,DBSM/M/Klemm,Vd 169,Vd 169,1829,"La @mode : revue des modes, galerie de moeurs, album des salons", : ,,025965875,,,,,,,,009030115,1,02
012004758,L-1810-180402862,Abvz,DBSM/M/Klemm,Va 103,Va 103,1810,Leipziger Zeitung : Amtsblatt des Königlichen Landgerichts und des Königlichen Amtsgerichts Leipzig sowie der Königlichen Amtshauptmannschaft Leipzig, : ,,105959305X,,,,,,,,009030115,1,03
012167819,L-1819-178441708,Abvz,DBSM/M/Klemm,Va 3069,Va 3069,1819,Cellische Nachrichten für Landwirthe besonders im Königreich Hannover : , : ,,1256749699,,,,,,,,009030115,1,02
012169234,L-1810-176805001,Abvz,DBSM/M/Klemm,"Va, 1935","Va, 1935",1810,Rheinisches Taschenbuch auf das Jahr ... : ,", ,  : , , ","012715751, 01271576X, 1016668473",,,,,,,,,009030115,1,02
012171565,L-1799-176804641,Abvz,DBSM/M/Klemm,Va 1637,Va 1637,1799,Niederrheinisches Taschenbuch für Liebhaber des Schönen und Guten : , : ,992238919,,,,,,,,,009030115,1,02
01241204X,L-1822-16790096X,Abvz,DBSM/M/Klemm,Vc 483,Vc 483,1822,"The @mirror of literature, amusement and instruction : containing original essays", : ,985499680,,,,,,,,,009030115,1,02
012604143,L-1817-302644598,Abvz,DBSM/M/Klemm,"Va, 5847","Va, 5847",1817,Almanach für Privatbühnen : auf das Jahr .., : ,1059603152,,,,,k,,,,009030115,1,02
012618284,L-1820-165496584,Abvz,DBSM/M/Klemm,Va 4227,Va 4227,1820,Literarisches Conversationsblatt : , : ,,1037013204,,,,,,,,009030115,1,02
012656186,L-1824-161323391,Abvz,DBSM/M/Klemm,"Va, 893","Va, 893",1824,Amts- und Nachrichtenblatt für das Fürstentum Gera : , : ,1033832618,,,,,,,,,009030115,1,02
012671606,L-1830-154532436,Abvz,DBSM/M/Klemm,Va 216,Va 216,1830,"Allgemeiner Anzeiger und Nationalzeitung der Deutschen : der öffentlichen Unterhaltung über gemeinnützige Gegenstände aller Art gewidmet, zugleich all", : ,1059605562,,,,,,,,,009030115,1,03
012700797,L-1827-177923474,Abvz,DBSM/M/Klemm,Va 1792,Va 1792,1827,"Vergißmeinnicht : Taschenbuch der Liebe, der Freundschaft und dem Familienleben des deutschen Volkes", : ,1016800274,,,,,,,,,009030115,1,02
012707783,L-1830-168492210,Abvz,DBSM/M/Klemm,"Va, 3626","Va, 3626",1830,Musenalmanach : für d. Jahr ..., : ,1059621452,,,,,,,,,009030115,1,02
012707791,L-1824-169149498,Abvz,DBSM/M/Klemm,Va 903,Va 903,1824,Orphea : Taschenbuch für ..., : ,,1176573977,,,,,,,,009030115,1,02
012718939,L-1818-177924217,Abvz,DBSM/DA,(DA 07.03.04.1089: 1824),"Va, 427",1818,Vergißmeinnicht : ein Taschenbuch, : ,,,,,,,,,,009030115,1,02
012718947,L-1827-180174045,Abvz,DBSM/M/Klemm,Va 2143,Va 2143,1827,Rosen : ein Taschenbuch, : ,1016714793,,,,,,,,,009030115,1,02
012729035,L-1816-156635062,Abvz,DBSM/M/Klemm,"Va, 2399","Va, 2399",1816,Cornelia : Taschenbuch für deutsche Frauen,",  : , ",", 1016867034",,,,,,,,,009030115,1,02
01273036X,L-1777-178515558,Abvz,DBSM/M/Klemm,Va 1551,Va 1551,1777,"Eyn @feyner kleyner Almanach : Vol schönerr echterr liblicherr Volckslieder, lustigerr Reyen vnndt kleglicherr Mordgeschichten", : ,,1067438459,,,,,,,,009030115,1,02
012731757,L-1799-176802991,Abvz,DBSM/M/Klemm,Va 2121,Va 2121,1799,Taschenbuch für Forst- und Jagdfreunde : für die Jahre ..., : ,1046081519,,,,,,,,,009030115,1,02
012731757,L-1799-176803106,Abvz,DBSM/M/Klemm,Va 2121,Va 2121,1799,Taschenbuch für Forst- und Jagdfreunde : für die Jahre ..., : ,1046081519,,,,,,,,,009030115,1,03
012765198,L-1825-164548556,Abvz,DBSM/M/Klemm,"Va, 1928","Va, 1928",1825,Berliner Kalender : für ..., : ,1059625040,,,,,,,,,009030115,1,02
012797847,L-1823-170778150,Abvz,DBSM/M/Klemm,"Vab, 78","Vab, 78",1823,Huldigung den Frauen : ein Taschenbuch, : ,1059626527,,,,,,,,,009030115,1,02
012805017,L-1814-710587767,Abvz,DBSM/M/Klemm,"Vab, 163","Vab, 163",1814,Aglaja : ein Taschenbuch für das Jahr .., : ,1046049747,,,,,,,,,009030115,1,02
012903159,L-1810-171698452,Abvz,DBSM/M/Klemm,"Va, 5623","Va, 5623",1810,Almanach aus Rom : für Künstler und Freunde der bildenden Kunst und klassischen Literatur, : ,,1059630109,,,,,,,,009030115,1,02
012943282,L-1811-163384002,Abvz,DBSM/M/Klemm,Va 2865,Va 2865,1811,Hertha : Germaniens Schutzgeist ; ein Jahrbuch für ..., : ,,,,,,,,,,009030115,1,02
012982539,L-1820-178583294,Abvz,DBSM/M/Klemm,Va 381,Va 381,1820,Die @Vorzeit : ein Taschenbuch für d. Jahr .., : ,100593567X,,,,,,,,,009030115,1,02
01298406X,L-1811-169705307,Abvz,DBSM/M/Klemm,"Va, 382","Va, 382",1811,Penelope : Taschenbuch d. Häuslichkeit u. Eintracht gewidmet auf d. Jahr ..., : ,980512999,,,,,,,,,009030115,1,02
012996521,L-1824-160502047,Abvz,DBSM/M/Klemm,Vab 22,Vab 22,1824,Fortuna : ein Taschenbuch für d. Jahr .., : ,1046054163,,,,,,,,,009030115,1,02
01300851X,L-1794-153967005,Abvz,DBSM/M/Klemm,Va 1932,Va 1932,1794,Gemeinnütziger Almanach : für das Jahr ..., : ,1059632721,,,,,,,,,009030115,1,02
013019635,L-1727-135403480,Abvz,DBSM/M/Klemm,"Va, 5297","Va, 5297",1727,Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück : auf das Jahr .., : ,1046058673,,,,,,,,,009030115,1,02
01303541X,L-1822-177493690,Abvz,DBSM/M/Klemm,Va 396,Va 396,1822,Der @sächsische Trompeter : eine Monatsschr. d. neuesten u. merkwürdigsten Weltbegebenheiten ; nebst e. Anhang zur Belehrung u. Unterhaltung, : ,1041940513,,,,,,,,,009030115,1,03
013056638,L-1825-170503402,Abvz,DBSM/M/Klemm,Va 2024,Va 2024,1825,Deutscher Regenten-Almanach : auf das Jahr ... ; historisch-biographische Gallerie der jetzt regierenden hohen Häupter, : ,1059634198,,,,,,,,,009030115,1,02
01309842X,L-1762-672631490,Abvz,DBSM/M/Klemm,"Va, 5988","Va, 5988",1762,Historisch-genealogischer Kalender : auf d. Gemein-Jahr ...,",  : , ","013253484, 1059635127",,,,,,,,,009030115,1,02
013220837,L-1816-634249401,Abvz,DBSM/M/Klemm,"Vab, 155","Vab, 155",1816,Taschenbuch vom K.K.P. Theater in der Leopoldstadt : , : ,1095798715,,,,,,,Jahrgänge einzeln erfasst (Af),,009030115,1,02
01346468X,L-1818-17680577X,Abvz,DBSM/M/Klemm,Va 1012,Va 1012,1818,"Taschenbuch der Wunder und Seltenheiten in der Natur, der Kunst und im Menschenleben : ", : ,,,,,,,,,,009030115,1,02
013589210,L-1825-178513849,Abvz,DBSM/M/Klemm,Va 2927,Va 2927,1824,Allgemeiner Volks-Kalender : auf das Jahr ..., : ,,1080873007,,,,,,,,009030115,1,02
013589806,L-1812-322170087,Abvz,DBSM/M/Klemm,"Va, 5854","Va, 5854",1812,Selam : ein Almanach für die Freunde des Mannigfaltigen, : ,1059639521,,,,,,,,,009030115,1,02
013617478,L-1827-165141441,Abvz,DBSM/M/Klemm,Vc 260,Vc 260,1827,The @Keepsake : , : ,1046540610,,,,,,,,,009030115,1,02
013739948,L-1828-169512428,Abvz,DBSM/M/Klemm,Va 2176,Va 2176,1828,Pantheon : eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa's, : ,,,,,,,,,,009030115,1,02
013886487,L-1824-153967145,Abvz,DBSM/M/Klemm,Va 1982,Va 1982,1824,Genealogisch-historisch-statistischer Almanach : auf das Jahr ..., : ,1046550152,,,,,,,,,009030115,1,02
013886509,L-1813-154987417,Abvz,DBSM/M/Klemm,Va 400,Va 400,1813,Deutsche Blätter : , : ,,104605306X,,,,,,,,009030115,1,02
013896296,L-1815-165554304,Abvz,DBSM/M/Klemm,Va 3578,Va 3578,1815,Opern-Almanach : für das Jahr ..., : ,1046050028,,,,,,,,,009030115,1,02
014044234,L-1811-166115436,Abvz,DBSM/M/Klemm,(nur 1811/12),Va 2109,1811,Curiositäten der physisch-literarisch-artistisch-historischen Vor- und Mitwelt : zur angenehmen Unterhaltung für gebildete Leser, : ,990644847,,,,,,,,,009030115,1,02
014897539,L-1830-154868787,Abvz,DBSM/M/Klemm,Va 3359,Va 3359,1830,Der @Blumen-Gärtner : e. Zeitschrift für Blumen-Freunde, : ,,,,,,,,,,009030115,1,02
014921111,L-1819-398994846,Abvz,DBSM/M/Klemm,"Va, 929","Va, 929",1819,Taschenbuch zum geselligen Vergnügen : ,", ,  : , , ","1149085916, 015293629, 012723878",,,,,,,,,009030115,1,02
014921111,L-1819-398995079,Abvz,DBSM/M/Klemm,Va 929 a,Va 929 a,1819,Taschenbuch zum geselligen Vergnügen : ,", ,  : , , ","1149085916, 015293629, 012723878",,,,,,,,,009030115,1,03
015079805,L-1816-163215235,Abvz,DBSM/M/Klemm,"Vl, 372","Vl, 372",1816,Novine srbske u Vieni : , : ,,,,,,,,,,009030115,1,02
015160882,L-1731-17559113X,Abvz,DBSM/M/Klemm,Va 1520,Va 1520,1731,Staats- und gelehrte Zeitung des Hamburgischen unpartheyischen Correspondenten : mit allergnädigster Kayserlicher Freyheit, : ,,98214055X,,,,,,,,009030115,1,02
015160882,L-1731-181309173,Abvz,DBSM/M/Klemm,VI 217,VI 217,1731,Staats- und gelehrte Zeitung des Hamburgischen unpartheyischen Correspondenten : mit allergnädigster Kayserlicher Freyheit, : ,,98214055X,,,,,,,,009030115,1,03
01516568X,L-1827-164548475,Abvz,DBSM/M/Klemm,Va 2873,Va 2873,1827,Kalender für den sächsischen Berg- und Hüttenmann : , : ,026792451,,,,,,,,,009030115,1,02
015220761,L-1828-145743063,Abvz,DBSM/M/Klemm,(ÜF / 4. OG: R73A/12/2),"Va, 5503",1828,Bilderchronik des Sächsischen Kunstvereins : , : ,1022671448,,,,,,,,,009030115,1,02
015307212,L-1810-154654868,Abvz,DBSM/M/Klemm,Vd 311,Vd 311,1810,Petit almanach de la Cour de France : , : ,,,,,,,,,,009030115,1,02
015364348,L-1832-160647061,Abvz,DBSM/M/Klemm,Va 2564,Va 2564,1823,Der @Frühlingsbote : , : ,1046551329,,,,,,,,,009030115,1,02
016071484,L-1781-487358481,Abvz,DBSM/F/Klemm,"Vf, 223","Vf, 223",1781,Le @politique hollandais : , : ,,,,,,,,,,009030115,1,02
016634543,L-1799-166891991,Abvz,DBSM/M/Klemm,Va 1461/4,Va 1461/4,1799,Pharmacopoea borussica : ,", ,  : , , ","010634967, 992037085, 1010353977",,,,,,,,,009030115,1,02
017966760,L-1813-181909197,Abvz,DBSM/M/Klemm,Va 888,Va 888,1813,Der @Deutsche : Sondershäuser Zeitung, : ,014915529,,,,,,,,,009030115,1,02
018017118,L-1817-195940571,Abvz,DBSM/M/Klemm,"Va, 5637","Va, 5637",1817,Allergnädigst privilegirtes Leipziger Tageblatt : , : ,1080873694,,,,,,,,,009030115,1,02
018075606,L-1820-178513245,Abvz,DBSM/M/Klemm,"Va, 1989","Va, 1989",1820,Der @erzgebirgische Volksfreund : eine Monatsschrift zur Belehrung und Unterhaltung für den Bürger und Landm ann, : ,1035392003,,,,,,,,,009030115,1,02
018328814,L-1826-179927442,Abvz,DBSM/M/Klemm,Va 4250,Va 4250,1826,Neuer concessionirter Wirthschafts- und Historien-Kalender : , : ,,,,,,,,,,009030115,1,02
018417620,L-1814-159460980,Abvz,DBSM/M/Klemm,Va 1705,Va 1705,1814,Erinnerungs-Blätter für gebildete Leser aus allen Ständen : , : ,1059508532,,,,,,,,,009030115,1,02
018434126,L-1828-154848360,Abvz,DBSM/M/Klemm,Va 110,Va 110,1828,Neue Bildergallerie für die Jugend : , : ,1037095154,,,,,,,,,009030115,1,02
