idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
011221712,Abvz,Almanach des muses,ou choix des poésies fugitives,,,,1046059165,
011285222,Abvz,Der @neue teutsche Merkur,vom Jahr ...,,,,025904507,
011285222,Abvz,Der @neue teutsche Merkur,vom Jahr ...,,,,1046059602,
011961449,Abvz,Vorwärts,"Volkstaschenbuch für das Jahr ..., unter Mitwirkung mehrerer freisinniger Schriftsteller Deutschlands hrsg. von Robert Blum",,,,,1176570749
012169234,Abvz,Rheinisches Taschenbuch auf das Jahr ...,,,,,012715751,
012169234,Abvz,Rheinisches Taschenbuch auf das Jahr ...,,,,,01271576X,
012169234,Abvz,Rheinisches Taschenbuch auf das Jahr ...,,,,,1016668473,
012671118,Abvz,Belustigungen des Verstandes und Witzes,,,,,1018230696,
013029088,Abvz,Das @Veilchen,ein Taschenbuch für Freunde einer gemütlichen und erheiternden Lectüre,,,,105963354X,
01631526X,Abvz,Der @breslauische  Erzähler,eine Wochenschrift,,,,1064029485,
019005725,Abvz,Kalender des Hochadelichen Baierischen Hausritterordens der Beschützer Göttlicher Ehre unter dem Schutze des Heiligen Erzengels Michael,auf das Gemeindejahr ..,,,,1059513137,
1003856543,Aal,In Turcos potius qz. gentez christicola. bella moue[n]da carmine coriambico gliconico Timanni Cameneri Guernensis,,,,,,1161809201
1003900852,Aal,Gewissens Spiegel aller Eigennützigen Käuffer und Verkäuffer ...,,,,,1063486718,
