idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
010002898,Abvz,Annuaire,,,,,1046059084,
010002898,Abvz,Annuaire,,,,,1111110921,
010004025,Abvz,Archiv für Papyrusforschung und verwandte Gebiete,,,,,995051712,
010009213,Abvz,La @bibliofilia,rivista di storia del libro e di bibliografia,,,,996865691,
010011552,Abvz,International bibliography of historical sciences,,,,,98739083X,
010011552,Abvz,International bibliography of historical sciences,,,,,104464866X,
01001201X,Advz,Bibliothek und Wissenschaft,BuW,,,,986797774,023354046
010013253,Abvz,Börsenblatt für den deutschen Buchhandel,bbb ; Fachzeitschr. für Verlagswesen u. Buchhandel,,,,013167693,
010013253,Abvz,Börsenblatt für den deutschen Buchhandel,bbb ; Fachzeitschr. für Verlagswesen u. Buchhandel,,,,013077309,
010013253,Abvz,Börsenblatt für den deutschen Buchhandel,bbb ; Fachzeitschr. für Verlagswesen u. Buchhandel,,,,1046053973,
010014357,Abvz,Deutsches Bücherverzeichnis,"Verzeichnis d. in Deutschland, Österreich, d. Schweiz u. im übrigen Ausland hrsg. deutsch-sprachigen Verl. Schriften sowie der wichtigsten Veröff. außerhalb des Buchhandels",,,,014043009,
010014357,Abvz,Deutsches Bücherverzeichnis,"Verzeichnis d. in Deutschland, Österreich, d. Schweiz u. im übrigen Ausland hrsg. deutsch-sprachigen Verl. Schriften sowie der wichtigsten Veröff. außerhalb des Buchhandels",,,,011248556,
010014357,Abvz,Deutsches Bücherverzeichnis,"Verzeichnis d. in Deutschland, Österreich, d. Schweiz u. im übrigen Ausland hrsg. deutsch-sprachigen Verl. Schriften sowie der wichtigsten Veröff. außerhalb des Buchhandels",,,,011300442,
010014357,Abvz,Deutsches Bücherverzeichnis,"Verzeichnis d. in Deutschland, Österreich, d. Schweiz u. im übrigen Ausland hrsg. deutsch-sprachigen Verl. Schriften sowie der wichtigsten Veröff. außerhalb des Buchhandels",,,,011192674,
01002252X,Abvz,Doctoral dissertations accepted by American universities,,,,,015886913,
01002252X,Abvz,Doctoral dissertations accepted by American universities,,,,,019928513,
01002252X,Abvz,Doctoral dissertations accepted by American universities,,,,,1070405590,
010026339,Abvz,The @Europa year-book,a survey and directory of European organisations and countries,,,,1049375920,
010029699,Abvz,Kürschners deutscher Gelehrtenkalender,bio-bibliographisches Verzeichnis deutschsprachiger Wissenschaftler der Gegenwart,,,,019025491,
010029699,Abvz,Kürschners deutscher Gelehrtenkalender,bio-bibliographisches Verzeichnis deutschsprachiger Wissenschaftler der Gegenwart,,,,1004469624,
