idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
010004025,Abvz,Archiv für Papyrusforschung und verwandte Gebiete,,,,,995051712,
010004300,Abvz,Archives et bibliothèques de Belgique,ABB,,,,017120497,
010004300,Abvz,Archives et bibliothèques de Belgique,ABB,,,,980046017,
010021302,Abvz,Bibliographie der schweizerischen naturwissenschaftlichen Literatur,,,,,014486776,
010021302,Abvz,Bibliographie der schweizerischen naturwissenschaftlichen Literatur,,,,,1077313020,
010029699,Abvz,Kürschners deutscher Gelehrtenkalender,bio-bibliographisches Verzeichnis deutschsprachiger Wissenschaftler der Gegenwart,,,,019025491,
010029699,Abvz,Kürschners deutscher Gelehrtenkalender,bio-bibliographisches Verzeichnis deutschsprachiger Wissenschaftler der Gegenwart,,,,1004469624,
010035737,Abvz,Jahrbuch der deutschen Bibliotheken,,,,,1205697934,
010038132,Abvz,Statistisches Jahrbuch der Deutschen Demokratischen Republik,,,,,010075119,
010038132,Abvz,Statistisches Jahrbuch der Deutschen Demokratischen Republik,,,,,980439507,
010051090,Abvz,Kürschners deutscher Literatur-Kalender,,,,,102782885X,
010051139,Abvz,Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft,,,,,1076048269,
010051139,Abvz,Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft,,,,,01897032X,
010051139,Abvz,Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft,,,,,983476632,
010085548,Abvz,Statistisches Jahrbuch für das Deutsche Reich,,,,,980433444,
010694757,Abvz,Aus Politik und Zeitgeschichte,APuZ,,,,021247129,
01071295X,Abvz,Das @Buch für alle,illustrierte Blätter zur Unterhaltung und Belehrung für die Familie und Jedermann,,,,,1059499304
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,025853473,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,018726356,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,024422037,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,985723777,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,1003299733,
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012112070,1093416165
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,011992050,1093416165
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012114278,1093416165
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012112062,1093416165
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012112054,1093416165
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012112046,1093416165
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,019346891,1093416165
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,013653830,1093416165
010730419,Abvz,Katalog,,,,,1007836164,
010796894,Abvz,General catalogue of printed books,,,,,014405652,
010967117,Abvz,Annuaire de l'Observatoire Royal de Bruxelles,,,,,1059519925,
010967117,Abvz,Annuaire de l'Observatoire Royal de Bruxelles,,,,,011488182,
011139781,Abvz,Kölnische Zeitung,mit Wirtschafts- u. Handelsblatt,,,,016305612,
011139781,Abvz,Kölnische Zeitung,mit Wirtschafts- u. Handelsblatt,,,,1035578719,
011167998,Abvz,Taschenbuch für Damen,auf das Jahr ..,,,,977723577,
011167998,Abvz,Taschenbuch für Damen,auf das Jahr ..,,,,1021202924,
011186380,Abvz,Der @Monat,Jahrbuch,,,,026901757,
011186380,Abvz,Der @Monat,Jahrbuch,,,,99140808X,
011202688,Abvz,Mitteilungen ... des Landesvereins Sächsischer Heimatschutz e.V.,"Naturschutz, Heimatgeschichte, Denkmalpflege und Volkskunde",,,,1002739608,
011226315,Abvz,Anzeiger für Literatur der Bibliothekwissenschaft,,,,,023123060,
011226323,Abvz,Anzeiger der Bibliothekwissenschaft,,,,,023123087,
011228083,Abvz,Ibero-amerikanisches Archiv,Zeitschrift für Sozialwissenschaften und Geschichte,,,,1072326132,
011229667,Abvz,Simplicissimus,,,,,983270090,
011231777,Abvz,Der @Bär,Jahrbuch von Breitkopf und Härtel,,,,101637335X,
011232226,Abvz,Allgemeine Bauzeitung <Wien>,mit Abbildungen ; österreichische Vierteljahrschrift für den öffentlichen Baudienst,,,,026033801,
011232226,Abvz,Allgemeine Bauzeitung <Wien>,mit Abbildungen ; österreichische Vierteljahrschrift für den öffentlichen Baudienst,,,,1046054058,
01123802X,Abvz,Du,die Zeitschrift der Kultur,,,,1031099387,
01123802X,Abvz,Du,die Zeitschrift der Kultur,,,,1031726071,
011248777,Abvz,Handbuch für das Deutsche Reich,,,,,,1176562622
011251875,Abvz,Hof- und Staats-Handbuch des Grossherzogthums Baden,,,,,1046541013,
011280824,Abvz,Jahrbuch der Preußischen Kunstsammlungen,,,,,982849532,
011280824,Abvz,Jahrbuch der Preußischen Kunstsammlungen,,,,,1195177240,
011280824,Abvz,Jahrbuch der Preußischen Kunstsammlungen,,,,,995780307,
011285893,Abvz,L' @illustration,journal universel,,,,1007665025,
011285893,Abvz,L' @illustration,journal universel,,,,1046547003,
011290617,Abvz,Polytechnisches Journal,,,,,991867076,
011290625,Abvz,Dingler's polytechnisches Journal,,,,,991868080,
011296984,Abvz,"Verzeichniß der Bücher, Landkarten &c., welche vom ... bis ... neu erschienen oder neu aufgelegt worden sind","mit Angabe der Seitenzahl, der Verleger, der Preise, literarischen Nachweisungen und einer wissenschaftlichen Übersicht",,,,01806664X,
011296984,Abvz,"Verzeichniß der Bücher, Landkarten &c., welche vom ... bis ... neu erschienen oder neu aufgelegt worden sind","mit Angabe der Seitenzahl, der Verleger, der Preise, literarischen Nachweisungen und einer wissenschaftlichen Übersicht",,,,1046047809,
01174152X,Abvz,Neues Archiv für sächsische Geschichte,,,,,994198035,
01174152X,Abvz,Neues Archiv für sächsische Geschichte,,,,,1242433511,
011974702,Abvz,Berliner Beiträge zur Landwirthschaftswissenschaft,,,,,1059592118,
012355488,Abvz,The @Graphic,an illustrated weekly newspaper,,,,1005987599,
012604488,Abvz,Mitteilungen aus dem Germanischen Nationalmuseum,,,,,1080405070,
012610534,Abvz,Mitteilungen des Freiberger Altertumsvereins,,,,,998924482,
012610909,Abvz,Informationen zur politischen Bildung,izpb,,,,020956126,
012611441,Advz,Deutsche Zeit- und Streitfragen,Flugschriften zur Kenntniß der Gegenwart,,,,1005837538,
01261386X,Abvz,Die @Kunst für alle,"Malerei, Plastik, Graphik, Architektur",,,,012613894,
01261386X,Abvz,Die @Kunst für alle,"Malerei, Plastik, Graphik, Architektur",,,,996422579,
012613886,Abvz,Dekorative Kunst,illustrierte Zeitschrift für angewandte Kunst,,,,012613894,1168483166
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,012613886,
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,011254025,
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,01261386X,
012616133,Abvz,Mittheilungen des Vereins für Geschichte und Alterthumskunde in Frankfurt am Main,,,,,105960373X,
012701041,Abvz,Über Land und Meer,deutsche illustrierte Zeitung,,,,01270105X,
012701041,Abvz,Über Land und Meer,deutsche illustrierte Zeitung,,,,1046045598,
012715786,Abvz,Churfürstlich-Sächsischer Hof- und Staatscalender,,,,,026411113,
012715786,Abvz,Churfürstlich-Sächsischer Hof- und Staatscalender,,,,,1059622394,
01272727X,Abvz,Magazin für die neue Historie und Geographie,,,,,1046051547,
012746207,Abvz,Kunst und Kunsthandwerk,Monatsschrift,,,,1033755133,
012755761,Advz,Schriften,,,,,1021428043,
012765198,Abvz,Berliner Kalender,für ...,,,,1059625040,
012765775,Abvz,"Gothaisches Jahrbuch für Diplomatie, Verwaltung und Wirtschaft",,,,,01122164X,
012793671,Abvz,Wissenschaftliche Zeitschrift für jüdische Theologie,,,,,025267302,
012825204,Abvz,"Allgemeines Verzeichnis der Bücher, welche von Ostern bis Michaelis von Michaelis bis Ostern neu gedruckt oder aufgelegt worden sind",,,,,983437998,
012856347,Abvz,Freimüthige Jahrbücher der allgemeinen deutschen Volksschulen,,,,,020672403,
012856347,Abvz,Freimüthige Jahrbücher der allgemeinen deutschen Volksschulen,,,,,1059628430,
012969230,Abvz,Die @Bücherstube,kleine Mitteilungen aus der Bücherstube,,,,,1154541916
013032356,Abvz,Das @Pfennig-Magazin für Verbreitung gemeinnütziger Kenntnisse,,,,,1059633655,
013034936,Abvz,Kirchen- und Ketzer-Almanach,,,,,025477102,
013034936,Abvz,Kirchen- und Ketzer-Almanach,,,,,1059633728,
013036335,Abvz,Der @Bazar,illustrirte Damen-Zeitung,,,,101485783X,
013042297,Abvz,Moderne Kunst,illustrierte Zeitschrift,,,,,1122755821
013099981,Abvz,Soncino-Blätter,Beiträge zur Kunde d. jüd. Buches,,,,,1114680184
