idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
010029699,Abvz,Kürschners deutscher Gelehrtenkalender,bio-bibliographisches Verzeichnis deutschsprachiger Wissenschaftler der Gegenwart,,,,019025491,
010029699,Abvz,Kürschners deutscher Gelehrtenkalender,bio-bibliographisches Verzeichnis deutschsprachiger Wissenschaftler der Gegenwart,,,,1004469624,
010031332,Abvz,Deutsches Geschlechterbuch,genealogisches Handbuch bürgerlicher Familien ; Quellen- und Sammelwerk mit Stammfolgen deutscher bürgerlicher Geschlechter,,,,024700169,
010038132,Abvz,Statistisches Jahrbuch der Deutschen Demokratischen Republik,,,,,010075119,
010038132,Abvz,Statistisches Jahrbuch der Deutschen Demokratischen Republik,,,,,980439507,
010051090,Abvz,Kürschners deutscher Literatur-Kalender,,,,,102782885X,
010058702,Abvz,Bibliotheca philologica classica,,,,,,1176571532
010085548,Abvz,Statistisches Jahrbuch für das Deutsche Reich,,,,,980433444,
010196390,Abvz,"Allgemeines Journal für Handlung, Schiffahrt, Manufaktur und die darauf Beziehung habenden Gewerbe überhaupt",,,,,1059508702,
010694757,Abvz,Aus Politik und Zeitgeschichte,APuZ,,,,021247129,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,025853473,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,018726356,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,024422037,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,985723777,
010714049,Abvz,Die @Zeit,"Wochenzeitung für Politik, Wirtschaft, Wissen und Kultur",,,,1003299733,
010774467,Abvz,Gothaischer Kalender zum Nutzen und Vergnügen,,,,,01122164X,
011145927,Abvz,Die @Zukunft,,,,,1031454918,
011168110,Abvz,Historisches Taschenbuch,,,,,1016762127,
01118857X,Abvz,Musen-Almanach,für das Jahr ...,,,,992417821,
011188596,Abvz,Musenalmanach,,,,,,1001978528
011188715,Abvz,Museumskunde,Fachzeitschrift für die Museumswelt,,,,1145351697,105465624X
011203501,Abvz,Die @Musik,Organ des Amtes Musik beim Beauftragten des Führers für die Überwachung der gesamten geistigen und weltanschaulichen Schulung und Erziehung der NSDAP,,,,,1081531495
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012764744,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012764760,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012764752,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,011251514,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012764779,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,011251522,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012765775,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,011251530,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,1068660104,
01122164X,Abvz,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,025971123,
011228180,Abvz,Archiv des Criminalrechts,,,,,1000273733,
011228385,Abvz,Neues Archiv des Criminalrechts,,,,,1000273776,
011232226,Abvz,Allgemeine Bauzeitung <Wien>,mit Abbildungen ; österreichische Vierteljahrschrift für den öffentlichen Baudienst,,,,026033801,
011232226,Abvz,Allgemeine Bauzeitung <Wien>,mit Abbildungen ; österreichische Vierteljahrschrift für den öffentlichen Baudienst,,,,1046054058,
011242116,Abvz,Volkskundliche Bibliographie,für d. Jahre ...,,,,,1237385601
011244542,Abvz,Bibliothek der schönen Wissenschaften und der freyen Künste,,,,,023758325,
011251980,Abvz,Die @Horen,eine Monatsschrift,,,,989516520,
011254319,Abvz,Kunstgewerbeblatt,"Vereinsorgan der Kunstgewerbevereine Berlin, Dresden, Düsseldorf, Elberfeld, Frankfurt a. M., Hamburg, Hannover, Karlsruhe I. B., Königsberg i. Preussen, Leipzig, Magdeburg, Pforzheim und Stuttgart",,,,991359429,
011256680,Abvz,Literarisches Zentralblatt für Deutschland,,,,,019897553,
011256680,Abvz,Literarisches Zentralblatt für Deutschland,,,,,1046543075,
011278404,Abvz,Almanach der deutschen Musen,auf das Jahr ..,,,,,1049767640
011280824,Abvz,Jahrbuch der Preußischen Kunstsammlungen,,,,,982849532,
011280824,Abvz,Jahrbuch der Preußischen Kunstsammlungen,,,,,1195177240,
011280824,Abvz,Jahrbuch der Preußischen Kunstsammlungen,,,,,995780307,
011285222,Abvz,Der @neue teutsche Merkur,vom Jahr ...,,,,025904507,
011285222,Abvz,Der @neue teutsche Merkur,vom Jahr ...,,,,1046059602,
011285230,Abvz,Der @teutsche Merkur,,,,,024618020,
011297069,Advz,Archiv für Papyrusforschung und verwandte Gebiete,,,,,1016865511,
011300191,Abvz,Jahrbuch für Wirtschaftsgeschichte,,,,,991214226,
011300191,Abvz,Jahrbuch für Wirtschaftsgeschichte,,,,,996378243,
011325151,Abvz,Münchener Kalender,,,,,,1154542289
011383003,Abvz,Berlinische Nachrichten von Staats- und gelehrten Sachen,,,,,1059541467,
011446404,Abvz,Innendekoration,"mein Heim, mein Stolz ; d. gesamte Wohnungskunst in Bild u. Wort",,,,1007324163,
011742763,Abvz,Briefwechsel der Familie des Kinderfreundes,,,,,,1017621071
011854049,Abvz,"Neueste Sammlung jener Schriften, die von einigen Jahren her über verschiedene wichtige Gegenstände zur Steuer der Wahrheit im Drucke erschienen sind",,,,,1025848063,
011869755,Abvz,Kinderzeitung,,,,,1038853796,
011889160,Abvz,Sammlung rußischer Geschichte,,,,,1070041319,
011889160,Abvz,Sammlung rußischer Geschichte,,,,,019136153,
011921900,Abvz,Transactions of the Society of Arts,,,,,981039197,
011921900,Abvz,Transactions of the Society of Arts,,,,,1059590719,
011925736,Abvz,Acta litteraria ex manuscriptis eruta atque collecta,,,,,,1173833404
011961503,Abvz,Göttingischer Taschen-Kalender,für das Jahr ... ; mit Kupfern von Chodowiecky nebst d. neuesten Frauenzimmer- und Mannskleidungen in Kupfer,,,,013130951,
011961503,Abvz,Göttingischer Taschen-Kalender,für das Jahr ... ; mit Kupfern von Chodowiecky nebst d. neuesten Frauenzimmer- und Mannskleidungen in Kupfer,,,,1018169067,
011974702,Abvz,Berliner Beiträge zur Landwirthschaftswissenschaft,,,,,1059592118,
011987162,Abvz,"Der @durchlauchtigen Welt ... neu vermehrter und verbesserter Geschichts-, Geschlechts- und Wappen-Calender",auf d. Jahr ...,,,,1046058630,
012010677,Abvz,Neuer Zeitungen von Gelehrten Sachen auf das Jahr ... Theil,,,,,1027035574,
012032123,Abvz,Taschenbuch für die neuste Geschichte,,,,,1059593912,
012169153,Abvz,Göttinger Taschen Calender Für das Jahr ...,,,,,019637616,
012169153,Abvz,Göttinger Taschen Calender Für das Jahr ...,,,,,013130951,
012169153,Abvz,Göttinger Taschen Calender Für das Jahr ...,,,,,1018168699,
012170798,Abvz,"Beyträge zur Geschichte und Literatur, vorzüglich aus den Schätzen der Königl. Hof- und Centralbibliothek zu München",,,,,1046044303,
012187747,Abvz,Jahrbücher für Philologie und Pädagogik,eine krit. Zeitschr.,,,,1059596202,
012608971,Abvz,"Die @Neue Europäische Fama, Welche den gegenwärtigen Zustand der vornehmsten Höfe entdecket",,,,,1059603381,
01260903X,Abvz,"Die @europäische Fama, welche den gegenwärtigen Zustand der vornehmsten Höfe entdecket",,,,,1046050818,
012610534,Abvz,Mitteilungen des Freiberger Altertumsvereins,,,,,998924482,
012613436,Abvz,Westermanns illustrierte deutsche Monatshefte,ein Familienbuch für das gesamte geistige Leben der Gegenwart,,,,1046550020,
012613657,Abvz,Neues Taschenbuch für Aerzte und Nichtärzte,,,,,986474479,
01261386X,Abvz,Die @Kunst für alle,"Malerei, Plastik, Graphik, Architektur",,,,012613894,
01261386X,Abvz,Die @Kunst für alle,"Malerei, Plastik, Graphik, Architektur",,,,996422579,
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,012613886,
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,011254025,
012613894,Abvz,Die @Kunst,Monatshefte für freie und angewandte Kunst,,,,01261386X,
012621080,Abvz,Altes und Neues von Schulsachen,,,,,1071413538,
012645699,Abvz,Acta Eruditorum,Anno ... publicata,,,,01752993X,
012645699,Abvz,Acta Eruditorum,Anno ... publicata,,,,025233955,
012650064,Abvz,Der @Königlichen Pohlnischen Churfürstlichen Residentz Stadt Dreßden wöchentlicher Anzeiger oder Nachricht,,,,,,1098210115
012650080,Abvz,Dreßdnische Frag- und Anzeigen,,,,,,1220800694
012663921,Abvz,Monatliche Unterredungen einiger guten Freunde von allerhand Büchern und andern annehmlichen Geschichten,allen Liebhabern der Curiositäten zur Ergetzlichkeit und Nachsinnen herausgegeben,,,,1026420385,
012673455,Abvz,"Deutsche Acta eruditorum oder Geschichte der Gelehrten, welche den gegenwärtigen Zustand der Literatur in Europa begreiffen",,,,,987039911,
012673463,Abvz,"Zuverlässige Nachrichten von dem gegenwärtigen Zustande, Veränderung und Wachsthum der Wissenschaften",,,,,987039725,
