,Gruppe,digi,Lfd Nr.,AKZ,bbg_x,IDN,Link zum Portal,signatur_g_x,Signatur,"steht bei
/ Anm.
zur
Signatur",Provenienzmerkmal,Material,Format,Öffnungswinkel,Einschränkungen,Glasplatte ,Verpackung,Verpackung austauschen ,Schadensklasse,"notwendige Reparatur(en) vor der Digitalisierung, notwendige Reparatur(en) vor der Digitalisierung",Bemerkungen,"Fragen/ Hinweise
an DBSM",Fragen an M. Steinberg,"nicht
am Stand-ort","Größe ÜF
(BxH)","Breite
(nur Ausreißer)","Dicke
(>12 cm)","12° Format
(<15 cm)","Einband-
art","Einband-
art Kommentar","Einband über-
formt (ganz od. teilweise)",Buch bereits restau-riert,"hohler/
fester Rücken (mit Einlage/
Vergoldung?)","Steh-
kanten
(bei Perg.)",Leder pudert ab/roter Zerfall (extrem),Einband stark defor-miert,Be-schläge bes. auftra-gend,Buch-schließe steif,Buch-block Pa./Perg.,saures Füll-material,Register-marken,seitliche Heftung,Buch-block sehr wellig,"Buch-block neigt zum ""Bauch""",ge-schloss-ene Lagen,Falttafeln,"Größe Buch+
Falttafeln (BxH)",Original-grafik,Kolorier-ung / Buch-malerei / Initialen / Rubri-kation,berühr-ungsfreie Digit.,Schrift weit bis in den Falz (Bund-steg in mm) Text-verlust,nicht digitali-sierbar wegen Bund-steg (vorraus-sichtlich),max. Öffnungs-winkel,max. Öffnungs-winkel Kommentar,Digit. mit Begleit-ung,Digit. mit Begleit-ung Kommentar,Rest.-Bericht einge-klebt,Blatt mit Notizen zum Buch eingeklebt ,"Rest.
not-wendig (ja/nein) (vor/nach der Digit.)","Rest.-
Aufwand gesamt
(in Std.)","Rest.
erfolgt",Kassette,Schuber,Buch-schuh,Mappe ,Um-schlag,SB neu,Anmerkungen (allg.),"für Testphase
vorsehen","für Testphase
vorsehen Kommentar",Schutz-behältnis empfohlen,Foto für Erheb. Rest. angefertigt (ab August),feuchte-empfind-liches Leder,"Material am Rücken/
Einband lose / eingeris-sen (auch Titelschild)",Narben spaltet sich ab,"Gelenk(e) 
an/durch-gebro-chen",Bünde gebro-chen (Anzahl),"Rücken lose/
halb lose",Be-schläge locker,"Buch
schließe fragil",Deckel spaltet sich / Fehlstelle im Deckel,Deckel gebro-chen,Deckel lose / halb lose,"Kapital fragil/
lose","Rest.-Aufwand Einband
(in Std.)",Anmerkungen für die Restaurierung am Einband,"Ver-schmutz-ung (Vorsatz / Ränder /
ges. BB)",mikro-bieller Befall,Farb-schicht pudert,Buch-block / Seiten verblockt,erste / letzte Lage oder Seiten lose,(halb-) lose Seiten im BB,Heftung zerstört,Risse / Fehl-stellen im Vorsatz,Risse im Text-bereich / an exponier-ter Stelle (z.B. Ecke),Risse am Rand,"Fehl-stellen im BB
(groß) ",Insekten-fraß (stark),Falten / Knicke,"saures /
brüchiges Papier",Tinten-/ Farbfraß (akut),Register-marken fragil,"Klebe-
streifen ablösen","Rest.-Aufwand Buchblock
(in Std.)",Anmerkungen für die Restaurierung am Buchblock,idn,akz,bbg_y,standort,signatur_g_y,signatur_a,titel,stuecktitel,umfang,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,bibliothek,einrichtung,exemplar,wert
0,Bö M,True,1.0,L-1688-181273209,Aal,1003962874,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003962874,Bö M 1,Bö M 1,,,Pergamentband,bis 25 cm,nur sehr geringer Öffnungswinkel,"hohler Rücken, Schrift bis in den Falz, erhabene Illuminationen",nicht auflegen,,Signaturfahne austauschen,0.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,,,,,,2.0,x,45,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bö M,True,2.0,L-1626-181298007,Aal,1003987001,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003987001,Bö M 2,Bö M 2,,X,Pergamentband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,Papierumschlag ,"Ja, Signaturfahne austauschen",0.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,,,,,,,,80,,,,,,n,0.0,,,,,,x sauer,x,,,,Box (Buch sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bö M,True,3.0,L-1610-181083752,Aal,1003854826,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003854826,Bö M 3,Bö M 3,,,Papier- oder Pappeinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,,Signaturfahne austauschen,0.0,,,,,,,,,,HPg,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bö M,True,4.0,L-1621-181151669,Aal,1003900852,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003900852,Bö M 4,Bö M 4,,,Papier- oder Pappeinband,bis 25 cm,180°,,,,,0.0,,,,,,,,,,HPg,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bö M,True,,L-1599-783807511,Qd,1262275857,,Bö M 5,Bö M 5,,X,Halbpergamentband,bis 25 cm,180°,hohler Rücken,,,Signaturfahne austauschen,0.0,,,,,,,,,,HPg,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bö M,True,7.0,L-1599-315493968,Aaf,1066963746,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066963746,Bö M 5 aus,Bö M 5 aus,,X,Halbpergamentband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,,Signaturfahne austauschen,0.0,,,,,,,,,,HPg,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bö M,True,8.0,L-1631-180645617,Aal,1003797741,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003797741,Bö M 6,Bö M 6,,X,Pergamentband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?","Einband mit Schutz- oder Stoßkanten, hohler Rücken",,Kassette,Nein,0.0,,,,,,,,,x,Pg,,,x,h,x,,,,,Pa,,,,,,,,,,,,3.0,,max 110,,,,,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bö M,True,9.0,L-1601-181068354,Aal,1003839622,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003839622,Bö M 7,Bö M 7,,X,Papier- oder Pappeinband,bis 25 cm,180°,hohler Rücken,,,,0.0,,,,,,,,,,Pa,,,x,h/E,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bö M,True,10.0,L-1695-18127504X,Aal,1003964729,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003964729,Bö M 8,Bö M 8,,X,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, welliger Buchblock",,Schuber,Nein,0.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,,,max 60,,,,,,,0.0,,,historisch?,,,x Buntpapier mit Gewebe kaschiert,,Umschlag: Buntpapier kaschiert mit Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bö M,True,11.0,L-1672-181212536,Aal,1003943349,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003943349,Bö M 9,Bö M 9,,X,Ledereinband,bis 42 cm,"80° bis 110°, einseitig digitalisierbar?","gefaltete Blätter, hohler Rücken",,Papierumschlag ,Ja,0.0,,,,,,,,,,L,,,,f/V,,,,,,Pa,,,,,,,x,"B: 23x36
F: 76x36",,,,,,110,,,,,,ja vor,1.0,,,,,,x sauer,x,,,,,,x,x,,,,,,,,,,,0.5,,,,,,,,,,x,,,,x,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
10,Bö M,True,12.0,L-1646-427678498,Afl,1147898448,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1147898448,Bö M 10,Bö M 10,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,Papierumschlag ,Ja,0.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,x,,,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bö M,True,,L-1624-783808437,Qd,1262276780,,Bö M 11,Bö M 11,,X,Halbpergamentband,bis 25 cm,180°,hohler Rücken,,,Signaturfahne austauschen,0.0,,,,,,,"QF
(26x18,5)",,,HPg,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,180,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bö M,True,15.0,L-1622-181212994,Aal,1003943853,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003943853,Bö M 12,Bö M 12,,X,Halbpergamentband,bis 25 cm,180°,hohler Rücken,,,Signaturfahne austauschen,0.0,,,,,,,"QF
(26x18,5)",,,HPg,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,180,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bö M,True,16.0,L-1687-181298449,Aal,1003987435,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003987435,Bö M 13,Bö M 13,,X,Pergamentband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, welliger Buchblock",,Papierumschlag ,Ja,0.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,,,,,,,,45,,,,,,n,0.0,,,,,,x sauer,x,,,,Box (Buch sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bö M,True,,L-1649-426018907,Qd,1144984351,,Bö M 14,Bö M 14,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,Kassette,Nein,0.0,,,,,,,,,,Pg,,,x,h/E,,,,,,Pa,,,,,x,,x,,x,,,0.0,x,110,,,,,,n,0.0,,Gewebe,,,,,,"durchgehende Tafeln und sehr ""eng"" gebunden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bö M,True,20.0,L-1650-181215799,Aal,1003946658,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003946658,Bö M 15,Bö M 15,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,Papierumschlag ,Ja,0.0,,,,,,,,,,HPg,,,,h,,,,,,Pa,,,,,,,x,,x,,,,,180,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bö M,True,21.0,L-1644-181215128,Aal,1003945953,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003945953,Bö M 16,Bö M 16,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,Papierumschlag ,Ja,1.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,x,,x,,,,,nur 110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bö M,True,22.0,L-1643-181271060,Aal,1003960766,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003960766,Bö M 17,Bö M 17,,X,Papier- oder Pappeinband,bis 35 cm,180°,"hohler Rücken, gefaltete Blätter",,Papierumschlag ,Ja,1.0,,,,,,,,,,Pa,,,,h/E,,,,,,Pa,,,,,,,x,,x,,,,,nur 110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
