idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
010000933,Abvz,Adreßbuch für den deutschsprachigen Buchhandel,Buchhandelsadreßbuch für die Bundesrepublik Deutschland ; Adreßbuch des österreichischen Buchhandels ; Schweizer Buchhandel-Adreßbuch,,,,,,,,,
010002065,Abvz,American library directory,,,,,,,,,,
010002375,Abvz,Annalen der Physik,,,,,,019727577,026616149,,,
010002898,Abvz,Annuaire,,,,,,1046059084,,,,
010002898,Abvz,Annuaire,,,,,,1111110921,,,,
010003177,Abvz,Das @Antiquariat,Halbmonatsschrift für alle Fachgebiete d. Buch- u. Kunstantiquariats,,,,,,,,,
010003266,Abvz,Allgemeiner Anzeiger für Buchbindereien,AAB ; Mitteilungsblatt der Deutschen Fachorganisationen des Buchbindereigewerbes,,,,,,,,,
010004025,Abvz,Archiv für Papyrusforschung und verwandte Gebiete,,,,,,995051712,,,,
01000663X,Advz,Beiträge zur Inkunabelkunde,im Auftrage der Staatsbibliothek zu Berlin Preußischer Kulturbesitz,,,,,,,011150408,,
010009213,Abvz,La @bibliofilia,rivista di storia del libro e di bibliografia,,,,,996865691,,,,
010009752,Abvz,Archäologische Bibliographie,,,,,,,,011299991,,
010009817,Abvz,Bibliographie der deutschen Bibliographien,"monatl. Verzeichnis d. selbständigen u. versteckten Bibliographien Deutschlands, d. Literaturverzeichnisse deutschsprachiger Veröffentlichungen d. Auslandes u. wichtiger ungedruckter Titelzusammenstellungen",,,,,,,,,
010011552,Abvz,International bibliography of historical sciences,,,,,,98739083X,,,,
010011552,Abvz,International bibliography of historical sciences,,,,,,104464866X,,,,
01001201X,Advz,Bibliothek und Wissenschaft,BuW,,,,,986797774,023354046,,,
010013253,Abvz,Börsenblatt für den deutschen Buchhandel,bbb ; Fachzeitschr. für Verlagswesen u. Buchhandel,,,,,013167693,,,,
010013253,Abvz,Börsenblatt für den deutschen Buchhandel,bbb ; Fachzeitschr. für Verlagswesen u. Buchhandel,,,,,013077309,,,,
010013253,Abvz,Börsenblatt für den deutschen Buchhandel,bbb ; Fachzeitschr. für Verlagswesen u. Buchhandel,,,,,1046053973,,,,
010013555,Abvz,Bollettino delle pubblicazioni italiane ricevute per diritto di stampa,,,,,,,,,,
010013652,Abvz,The @cumulative book index,CBI ; a world list of books in the English language,,,,,,,,,
010013679,Abvz,The @Cumulative book index,CBI ; a world list of books in the English language,,,,,,,,,
010013733,Abvz,British book news,,,,,,,,,,
010014195,Abvz,Das @Schweizer Buch,"bibliographisches Bulletin der Schweizerischen Landesbibliothek, Bern",,,,,,,012621358,,
010014357,Abvz,Deutsches Bücherverzeichnis,"Verzeichnis d. in Deutschland, Österreich, d. Schweiz u. im übrigen Ausland hrsg. deutsch-sprachigen Verl. Schriften sowie der wichtigsten Veröff. außerhalb des Buchhandels",,,,,014043009,,,,
010014357,Abvz,Deutsches Bücherverzeichnis,"Verzeichnis d. in Deutschland, Österreich, d. Schweiz u. im übrigen Ausland hrsg. deutsch-sprachigen Verl. Schriften sowie der wichtigsten Veröff. außerhalb des Buchhandels",,,,,011248556,,,,
