idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1047218887,Aal,"Turandement van der munten [Münzvertrag,  Löwen, 10.IV.1491, d.i. 10.4.1492] @[GW]",,,,,,,,,
1047477246,Aa,Opera,,,,,,,,,
1047569779,Aa,Speculum historiale,,,,,,,,,
1047877775,Aa,Formularium instrumentorum,,,,,,,,,
1047878534,Aa,Theologica emphasis,,,,,,,,,
1047897032,Aa,Missale dominorum Teutonicorum,,,,,,,,,
1048059340,Aa,Missale Ratisponense,,,,,,,,,
104816313X,Aa,Decretales,,,,,,,,,
1048164535,Aa,"Biblia, deutsch",,,,,,,,,
1048166694,Aa,Missale Romanum,,,,,,,,,
1048168069,Aa,Biblia aurea,,,,,,,,,
1048169669,Aa,Etymologiae,,,,,,,,,
1048306054,Aa,Pantheologia,,,,,,,,,
1051419549,Aa,Missale Benedictinum,,,,,,,,,
1052249787,Aal,"Biblia, dt.",,,,,,,,,
1056050667,Aa,[Almanach für Nürnberg auf das Jahr 1484],,,,,,,,,
106667857X,Aa,Biblia,,,,,,,,,
1066791759,Aa,Casus longi super Institutis,,,,,,,,,
1066869855,Aaf,"Compendium totius logicae, sive Parvulus antiquorum",,,,,,,,,
1066957290,Aaf,Liber chronicarum,,,,,,,,,
1066962952,Aaf,Oeconomica,,,,,,,,,
1066964505,Aaf,Summa universae theologiae,P. 1-4,,,,,,,1066941572,Qd
1066964645,Aaf,Sermones de tempore et de sanctis,,,,,,,,,
1066964653,Aaf,Summa angelica de casibus conscientiae,,,,,,,,,
1066964688,Aaf,Confessionale Defecerunt scrutantes scrutinio,,,,,,,,,
1066964823,Aaf,Quadragesimale de floribus sapientiae,,,,,,,,,
106696503X,Aaf,Parva naturalia,,,,,,,,,
1066965153,Aaf,Margarita poetica,,,,,,,,,
106696517X,Aa,Flores astrologiae,,,,,,,,,
1066965242,Aaf,De planctu ecclesiae,,,,,,,,,
1066965285,Aa,Summa angelica de casibus conscientiae,,,,,,,,,
1066965331,Aaf,Opera,,,,,,,,,
1066965358,Aa,Confessionale Defecerunt,,,,,,,,,
1066965374,Aa,Summa theologica,P. 1-4,,,,,,,,
1066965382,Aa,Summa theologica,P. 1-4,,,,,,,,
1066965390,Aa,Summa theologica,P. 1-4,,,,,,,1066941572,Qd
1066965447,Aaf,Historia Romana,P. 1-2,,,,,,,,
1066965501,Aaf,Meteorologica,,,,,,,,,
1066965536,Aaf,Politica,,,,,,,,,
1066965579,Aaf,Ars et modus contemplativae vitae,,,,,,,,,
1066965625,Aaf,Elegantiolae,,,,,,,,,
106696565X,Aaf,"De arte praedicandi [= De doctrina Christiana, liber 4]",,,,,,,,,
1066965781,Aa,De trinitate,,,,,,,,,
1066965838,Aaf,Explanatio psalmorum,P. 1-3,,,,,,,,
1066965900,Aaf,Sermones ad heremitas,,,,,,,,,
1066965951,Aaf,Expositio mysteriorum missae,,,,,,,,,
1066965978,Aaf,Summa casuum conscientiae,,,,,,,,,
1066965986,Aa,Summa casuum conscientiae,,,,,,,,,
1066966079,Aaf,Cautelae,,,,,,,,,
106696615X,Aaf,Viatorium utriusque iuris,,,,,,,,,
1066966184,Aa,Liber Bibliae moralis,,,,,,,,,
1066966206,Aaf,Repertorium morale,,,,,,,,,
1066966249,Aa,Sermones de festivitatibus Virginis gloriosae,,,,,,,,1193133629,Qd
106696629X,Aa,Sermones de tempore et de sanctis et de diversis,,,,,,,,,
1066966370,Aaf,Repertorium iuris utriusque,,,,,,,,,
1066966389,Aa,Repertorium iuris utriusque. P. 1-3.,,,,,,,,,
1066966400,Aaf,"Biblia, dt.",,,,,,,,,
1066966494,Aa,"Biblia, lat.",,,,,,,,,
1066966516,Aa,"Biblia, lat.",,,,,,,,,
1066966559,Aa,"Biblia, lat.",,,,,,,,,
1066966567,Aa,"Biblia, lat.",,,,,,,,,
1066966575,Aa,"Biblia, lat.",,,,,,,,,
1066966613,Aa,"Biblia, lat.",,,,,,,,1066941572,Qd
106696663X,Aaf,"Biblia, lat.",,,,,,,,,
1066966664,Aa,"Biblia, lat.",,,,,,,,,
1066966672,Aa,"Biblia, lat.",,,,,,,,,
1066966680,Aa,"Biblia, lat.",,,,,,,,,
1066966699,Aa,"Biblia, lat.",,,,,,,,,
1066966710,Aaf,"Biblia, niederdt.",,,,,,,,,
1066966761,Aa,Die @güldene Bibel,,,,,,,,,
1066966788,Aaf,Historiarum ab inclinatione Romanorum imperii decades,,,,,,,,,
1066966834,Aa,De consolatione philosophiae,P. 1-2,,,,,,,,
1066966893,Aa,Breviloquium,,,,,,,,,
1066967024,Aa,Liber sextus Decretalium,P. 1-2,,,,,,,,
1066967105,Aa,Liber sextus Decretalium,,,,,,,,,
