idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
011221712,Abvz,Almanach des muses,ou choix des poésies fugitives,,,,1046059165,,,,
011285222,Abvz,Der @neue teutsche Merkur,vom Jahr ...,,,,025904507,,,,
011285222,Abvz,Der @neue teutsche Merkur,vom Jahr ...,,,,1046059602,,,,
011910828,Abvz,Almanach de l'Université Impériale,année ..,,,,,,,,
011961449,Abvz,Vorwärts,"Volkstaschenbuch für das Jahr ..., unter Mitwirkung mehrerer freisinniger Schriftsteller Deutschlands hrsg. von Robert Blum",,,,,1176570749,,,
012169234,Abvz,Rheinisches Taschenbuch auf das Jahr ...,,,,,012715751,,,,
012169234,Abvz,Rheinisches Taschenbuch auf das Jahr ...,,,,,01271576X,,,,
012169234,Abvz,Rheinisches Taschenbuch auf das Jahr ...,,,,,1016668473,,,,
012671118,Abvz,Belustigungen des Verstandes und Witzes,,,,,1018230696,,,,
013029088,Abvz,Das @Veilchen,ein Taschenbuch für Freunde einer gemütlichen und erheiternden Lectüre,,,,105963354X,,,,
01631526X,Abvz,Der @breslauische  Erzähler,eine Wochenschrift,,,,1064029485,,,,
016590341,Abvz,Grimmaisches Wochenblatt für Stadt und Land,,,,,,,,,
019005725,Abvz,Kalender des Hochadelichen Baierischen Hausritterordens der Beschützer Göttlicher Ehre unter dem Schutze des Heiligen Erzengels Michael,auf das Gemeindejahr ..,,,,1059513137,,,,
365094137,Aal,Rheinisches Staedtebuch oder getreue Abbildung von 50 Städten ... wie sie solche ... v. Merian naturgetreu aufgenommen sind,Mit kurzen hist. Notizen,,,,,,,,
366253557,Afl,,,Dizionario italiano-tedesco e tedesco-italiano,Bd. 1.,Dizionario italiano-tedesco,,,,,
366253557,Afl,,,Dizionario italiano-tedesco e tedesco-italiano,1.,A-M,,,,,
366253565,Afl,,,Dizionario italiano-tedesco e tedesco-italiano,Bd. 1.,Dizionario italiano-tedesco,,,,,
366253565,Afl,,,Dizionario italiano-tedesco e tedesco-italiano,2.,N-Z,,,,,
36758865X,AFl,Pindari Carmina,Graece,,,,,,,,
993921515,Aal,"Gegründte Christliche Antwort der|| jetzigen Euangelischen Predicanten in|| der Statt Augspurg.|| Auff Doctor Georgen|| Müllers [=Mylius] newlich in Truck außge=||gangen vermainten Send vnd|| Trostbrieff.|| Sampt einem außfürlichen Bericht,|| auß...|| Luthers, vnd ... der ...|| Augspurgischen Confession zugethaner Theologen ...|| schriften, was man vom Beruff der Kir=||chendiener derselben Confession vnnd|| der Lutherischen gemeß|| halten solle.|| An die Euangelische Burgerschaft zu Augspurg|| Sendbrieffs weyß, derselben zum besten, zu auffdeckung der|| warheit, vnnd widerlegung des vngrunds, ...|| Publicirt, ... ||",,,,,,,,1137889500,Qd
994728050,Aal,"DEMOS||THENIS ORATIO||NES OLYNTHIACAE TRES, ET PHI-||lippica una, per Philippum Me-||lanchthonem & Ioachimum Ca-||merarium latinitate donatae, &|| Scholijs, quae prolixi commen||tarij uice esse possint,|| illustratae.|| Partim nunc primum, partim quàm antea et|| emendatiores, et scholijs instructio-||res in lucem editae.||",,,,,,,,1262280982,Qd
994729375,Aal,"MARTINI|| CRVSII|| COMMENTARIOLVM IN|| primam Demosthenis Olynthiacam|| STVRMIANVM|| EIVSDEM SCHOLIA IN EAN||dem, et Epitome ex Diodoro Siculo de sta||tu illorum temporum in|| Graecia|| His addita est conuersio|| IOAN STVRMII",,,,,,,,1262280982,Qd
996537732,Aal,Ereignisse aus der neuesten Zeit,Ein Guckkastenspiel in 9 Aufzügen ; Vorgestellt den 20. September 1807 ; Gedruckt in diesem Jahre,,,,,,,,
996539239,Aal,Noch ein Blümchen in Augustens Garten,Den 16. März 1806 ; [Gelegenheitsgedicht],,,,,,,,
997039531,Aal,"Egesippi, des christlichen Geschichtsschreibers fünff Bücher: Von jüdischen Krieg, und endlicher Zerstörung der herrlichen und gewaltigen Statt Jerusalem",,,,,,,,1149184833,Qd
997387564,Aal,Hevres Nouvelles,dédiées à Monseignevr Dauphin,,,,,,,,
998771511,Afl,,,Mille et vltra priuilegia ecclesiarum et ecclesiasticarum personarum sub repetitione verius parte repetitione extrauag. Pauline de rebus eccle. alie. vel non citata in primo tomo ...,T. 6,,,,,,
999175041,Aal,CONTENTA|| IN HOCCE LIBELLO||,"DE PROSODIA NVPER AB IPSO|| autore Philippo Melanchthone aucta|| atq. Recognita|| DE RATIONE SYLLABARVM|| breuis Isagoge, autore Henrico|| Glareano|| STICHOLOGIA, SEV RATIO SCRI||bendorum uersuum, autore Christo||phoro Hegendorphino|| DE CARMINVM RATIONE LI||bellus, iam ultimo per autorem ipsum|| accurate emendatus|| CARMINVM PROBANDORVM|| exercitium per quatuordecim quae||stiones congestum, autore|| Ioanne Murmellio",,,,,,,,
999799924,Aal,"OTTONIS PHRISINGEN||sis Episcopi, viri clarissimi, Rerum ab ori||gine mundi ad ipsius vs#[que] tempora|| gestarum, Libri Octo.|| EIVSDEM De gestis Friderici primi Aeno=||barbi Caes.Aug. Libri Duo.|| RADEVICI Phrisingeñ. ecc#[l]ie Canonici Libri|| duo, prioribus additi, de eiusd? Friderici Imp. gestis.|| [Hrsg.v.(IO. Cuspinianus||)]",,,,,,,,1262282411,Qd
1002340799,Aal,"Das @güldene Kleinot, das ist: Der Catechismus deß ehrwirdigen Herrn D. Mart. Lutheri, in kurtze Frage vnd Antwort gefasset, vnd der lieben Jugendt einfeltiglich außgelegt ; Jetzundt von neuwem in ein ordnung gebracht",,,,,,,,,
1003786944,Aal,"Archontologia Cosmica, Sive Imperiorum, Regnorum, Principatuum, Rerumque Publicarum omnium per totum Terrarum Orbem Commentarii LuculentissimiQuibus Cum Ipsae Regiones, Earumque Ingenia, ac termini ... ad nostra usque tempora deducuntur ...",,,,,,,,,
1003787630,Aal,"Jo. Ludovici Gottfridi Historische Chronica, Oder Beschreibung der Fürnemsten Geschichten/ so sich von Anfang der Welt/ biß auff unsere Zeiten zugetragen",Nach Außtheilung der vier Monarchien/ und beygefügter Jahrrechnung/ auffs fleissigste in Ordnung gebracht/ und in Acht Theil abgetheilet,,,,,,,,
1003797199,Aal,De Lactibus Sive Lacteis Venis Quarto Vasorum Maesaraicorum genere ...,,,,,,,,,
1003797741,Aal,"Divi Aurelii Augustini ... Meditationes, Soliloquia et Manuale. Meditationes B. Anselmi cum tractatu de humani generis redemptione, D. Bernardi, Idiotae viri docti de amore divino",,,,,,,,,
1003798918,Aal,Astronomique discours,,,,,,,,,
1003799868,Aal,Der @Andächtig=Gott=ergebenen Jungfer Tägliches Hand= und Gebeth=Buch ... mit ... Kupffern versehen,,,,,,,,,
1003800165,Aal,"Newer Beichtform, Das ist: Geistliche underrichtung ...",,,,,,,,,
1003800785,Aal,"De gemitu Columbae sive De bono lacrymarum, libri tres",,,,,,,,,
1003800963,Aal,Miknē Avrām,Grammatica hebraea una cum latino nuper edita,,,,,,,,
1003801153,Aal,Matthiae Belii de vetere Litteratvra hunno-scythica exercitatio,,,,,,,,,
1003801404,Aal,Casus longi super institutis ,,,,,,,,,
1003801838,Aal,"Abdias hayerên. Id est: Obadias ArmenusQuo, Cum Analysi Vocum Armenicarum Grammatica, & Collatione Versionis Armenicae cum Fontibus, aliisque, maximam partem Orientalibus Versionibus, exhibetur ; Primum In Germania Specimen Characterum Armenicorum, In Celeberrima Academia Lipsiensi procuratorum",,,,,,,,,
100380232X,Aal,"Aemylii Probi de Vita excellentium imperatorum, ad T. Pompomium Atticum",,,,,,,,,
1003802885,Aal,"HISTORIA|| BOHEMICA.|| Habes hic candide lector, Aeneae Syluij de Bo||hemorum origine ...|| elegantiss. libellum ...||",,,,,,,,1262272084,Qd
1003803210,Aal,"Co. Io. Hieronymi Albani equitis, et juris V. Consulti, ac Serenissimi Venetorum Dominii Collateralis Generalis, libri de potestate pape et concilii secunda editio",,,,,,,,,
1003804330,Aal,Historia schola principum,,,,,,,,1141698420,Qd
1003804497,Afl,,,Almanach des muses,1827,,,,,,
1003805450,Aal,"R. P. Laurentii Alticotii Cortonensis Soc. Jesu presbyteri dissertatio historico-critica de antiquis, novisque Manichaeis",,,,,,,,,
1003815839,Aal,Anakreontos ōdai,E mss. codd. et doctorum virorum conjecturis emendata,,,,,,,,
1003815960,Hfl,André,Johann Anton,"Zwey Duetten für Louise,",1.,Die Zeit entflieht mit raschem Flügel ...,,,,,
1003816002,Hfl,André,Johann Anton,"Zwey Duetten für Louise,",2.,Die Tugend ist das Band der Freunde ...,,,,,
1003816029,Hfl,André,Johann Anton,"Zwey Duetten für Louise,",3.,Das Blümchen der Freunde,,,,,
1003824404,Aal,Calendarium Tyrnaviense ad annum Christi 1696,"bissextilem ad Meridianum Tyrnaviensem, ad Elevationem Poli 48. Graduum ;  in usum Hungariae, et vicinarum provinciarum supputatum ",,,,,,,,
1003825265,Af,,,"Aristotelis ... operum omnium pars prima [-septima], quam Logicam, seu organum appellant: cui addidimus argumenta, ac potius paraphrases, & annotationes ex Boethi, Ammonij, Simplicij, Io. Grammat. & Alexandri sententia in singula capita ex Ioan. Marinelli scriptis. Index ..",2.,"Aristotelis Stagiritae Rhetoricorvm ad Theodect. libri III Quos Carolus Sigonius, & M. Anton. Maioragius vertebat. De rhetorica ad Alexan. lib. De arte poetica liber. Argumenta distributionis methodicae, et explanationes ex Ioan. Mar. scriptis in tres priores lib. Cum proprio indice",,,,,
1003825370,Aal,Neu vermehrtes Paradis-Gärtlein ...,,,,,,,,1262274907,Qd
1003825478,Aal,"Arriani Nicomedensis, novi Xenophontis appellati. De Rebus gestis Alexādri Magni regis Macedonum libri octo, summa diligentia ad Graecum exemplar emendati, & innumeris quibus antea scatebant mendis repurgati",,,,,,,,114363148X,Qd
1003825710,Aal,Antonii Augustini emendationum et opinionum lib. IIII,"eiusdem ad modestinum ... liber singularis ; Item: Laelii Taurelli, ...",,,,,,,,
100382594X,Afl,Augustinus,Aurelius,Opuscula divi Augustini longe prestantissima,Pars 1,,,,,,
1003826016,Afl,Augustinus,Aurelius,Opuscula divi Augustini longe prestantissima,Pars 2,Secunda pars opusculo[rum] Diui Augustini qua haec continentur,,,,,
1003826288,Aal,"D. Aurelii Augustini Hipponensis episcopi liber de haeresibus, ad quodvultdeum",,,,,,,,,
1003826415,Aal,"D. Magni Ausonii ... opera, ex recognitione Iosephi Scaligeri",,,,,,,,,
1003826466,Aal,"Antiqvitatum variarvm autores, Quorum catalogum sequens continet pagella",,,,,,,,,
1003838154,Aal,Die @gantze Heilige Schrifft|| Alten und Neuen Testaments|| Deutsch||,,,,,,,,,
