idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
010046887,Abvz,1899,Offizielles Adressbuch des deutschen Buchhandels,,,,,,,,,
010778578,Abvz,1891,"Verzeichnis der im deutschen Buchhandel neu erschienenen und neu aufgelegten Bücher, Landkarten, Zeitschriften etc.",,,,,,,,,
011141077,Abvz,1884,Zentralblatt für Bibliothekswesen,,,,,023030364,,,,
011151366,Abvz,1901,"Hinrichs' Halbjahrs-Katalog der im deutschen Buchhandel erschienenen Bücher, Zeitschriften, Landkarten usw.",,,,,01671136X,,,,
011232870,Abvz,1894,Beiträge zur Theorie und Praxis des Buch- und Bibliothekswesens,,,,,,,,,
011241217,Abvz,1867,Bibliografia d'Italia,giornale dell'Associazione Libraria Italiana,,,,1059532999,,,,
011248556,Abvz,1931,Halbjahrsverzeichnis der Neuerscheinungen des deutschen Buchhandels,"mit Voranzeigen, Verlags- und Preisänderungen, Stich- und Schlagwortreg.",,,,010014357,,,,
011295473,Abvz,1896,"Beiträge zur Kenntnis des Schrift-, Buch- und Bibliothekswesens",,,,,,,,,
011296984,Abvz,1823,"Verzeichniß der Bücher, Landkarten &c., welche vom ... bis ... neu erschienen oder neu aufgelegt worden sind","mit Angabe der Seitenzahl, der Verleger, der Preise, literarischen Nachweisungen und einer wissenschaftlichen Übersicht",,,,01806664X,,,,
011296984,Abvz,1823,"Verzeichniß der Bücher, Landkarten &c., welche vom ... bis ... neu erschienen oder neu aufgelegt worden sind","mit Angabe der Seitenzahl, der Verleger, der Preise, literarischen Nachweisungen und einer wissenschaftlichen Übersicht",,,,1046047809,,,,
011296992,Abvz,1886,"Verzeichniß der neu erschienenen und neu aufgelegten Bücher, Landkarten und Zeitschriften &c.",,,,,,,,,
011740469,Abvz,1848,Allgemeine Arbeiterzeitung,"Organ für d. polit. u. sozialen Interessen d. arbeitenden Volkes, zugl. Zeitung d. Arbeiter-Vereins zu Frankfurt a. M.",,,,,,,,
011967838,Abvz,1892,Protokoll der Verhandlungen des ... Kongresses der Gewerkschaften Deutschlands,,,,,,1227971583,,,
012187747,Abvz,1826,Jahrbücher für Philologie und Pädagogik,eine krit. Zeitschr.,,,,1059596202,,,,
01274266X,Abvz,1839,"Allgemeines Adreßbuch für den deutschen Buchhandel, den Antiquar-, Colportage-, Kunst- Landkarten- und Musikalien-Handel sowie verwandte Geschäftszweige",,,,,1019855568,,,,
012742678,Abvz,1889,Adreßbuch des deutschen Buchhandels,,,,,,,,,
014043009,Abvz,1916,"Halbjahrsverzeichnis der im deutschen Buchhandel erschienenen Bücher, Zeitschriften und Landkarten","Voranzeigen von Neuigkeiten, Verlags- u. Preisänderungen",,,,010014357,,,,
023376678,Abvz,1876,Die @Erscheinungen der deutschen Literatur auf dem Gebiete der Medicin und Pharmacie,alphabetisch geordnet und mit einem Materien-Register versehen,,,,,,,,
1033870447,Ha,1938,[Poesiealbum],,,,,,,,,
1033873950,Ha,1934,[Poesiealbum],,,,,,,,,
1033877204,Ha,1880,Erinnerung der Freunde,[Stammbuch],,,,,,,,
1033879169,Ha,1834,Souvenir,[Stammbuch],,,,,,,,
103388085X,Ha,1789,Stammbuch von Carl Schwantke,,,,,,,,,
1033924016,Ha,1910,[Poesiealbum],,,,,,,,,
1033925632,Ha,1907,[Poesiealbum],,,,,,,,,
103393612X,Ha,1880,[Poesiealbum],,,,,,,,,
1033961752,Hf,1915,Riedel,Johanna,"[Aufsatzhefte, 5. bis 1. Klasse, Aufstiegsklassen 1 bis 2]","[Klasse 5, 1915]",,,,,,
1033961884,Hf,1916,Riedel,Johanna,"[Aufsatzhefte, 5. bis 1. Klasse, Aufstiegsklassen 1 bis 2]","[Klasse 4, 1916]",,,,,,
1033961906,Hf,1917,Riedel,Johanna,"[Aufsatzhefte, 5. bis 1. Klasse, Aufstiegsklassen 1 bis 2]","[Klasse 3, 1917]",,,,,,
1033964093,Hf,1918,Riedel,Johanna,"[Aufsatzhefte, 5. bis 1. Klasse, Aufstiegsklassen 1 bis 2]","[Klasse 2, 1918]",,,,,,
1033964107,Hf,1919,Riedel,Johanna,"[Aufsatzhefte, 5. bis 1. Klasse, Aufstiegsklassen 1 bis 2]","[Klasse 1, 1919-1920]",,,,,,
103396431X,Hf,1921,Riedel,Johanna,"[Aufsatzhefte, 5. bis 1. Klasse, Aufstiegsklassen 1 bis 2]","[Aufstiegsklasse 2 a, 1921-1922]",,,,,,
1033964484,Hf,1922,Riedel,Johanna,"[Aufsatzhefte, 5. bis 1. Klasse, Aufstiegsklassen 1 bis 2]","[Aufstiegsklasse 1 a, 1922]",,,,,,
1033965537,Hf,1920,Riedel,Johanna,"[Aufsatzhefte, 5. bis 1. Klasse, Aufstiegsklassen 1 bis 2]","[Aufstiegsklasse 2 c, 1920]",,,,,,
1043189904,Ha,1670,Philosophiae totius juxta mentem Aristotelis institutio,,,,,,,,,
1046158244,Ha,1811,Christliches Gebetbuch,,,,,,,,,
1046171194,Hal,1845,[Schreibheft],,,,,,,,,
1046204491,Hal,1874,[Schreibheft],,,,,,,,,
1046761668,Hal,1827,Schreibebuch für B. C. Häntzschel,,,,,,,,,
1047109352,Hal,1865,[Kunstgewerbliche Entwürfe],,,,,,,,,
1047226227,Hal,1895,[Manuskripte von zwei nicht erschienenen Veröffentlichungen über Weimar],,,,,,,,,
1047319721,Ha,1809,[Schreibheft],,,,,,,,,
1047320207,Ha,1809,Erinnerung aus der Schule für Louisa Wilhelmine Schuwardtin,,,,,,,,,
104732394X,Ha,1806,[Schreibheft],,,,,,,,,
1047325071,Ha,1827,Erste Schreibversuche,,,,,,,,,
104732539X,Ha,1833,Schreibebuch,,,,,,,,,
104735926X,Hal,1940,[Faust. Der Tragödie erster Teil],,,,,,,,,
1047765748,Hal,1790,Andächtige Gebetter eines frommen Christen um stete Vereinigung mit dem Willen Gottes,,,,,,,,,
1053356994,Hal,1785,Simpathische Curen,,,,,,,,,
1053441819,Ha,1915,"[Handschriftliche Aufzeichnungen zu: Buchdruck, Photographie, Lithographie, Zeichnen u.a. in 6 Heften]","gesammelt seit 1910, geschr. 1.3.14 - 3.15",,,,,,,,
1053443854,Ha,1747,Sammlung verschiedener den jetzigen Zustand von Europa besondes aber von Deutschland vorgekommener Weißsagungen mit nöthigen Anmerckungen versehen,,,,,,,,,
1054410593,Ha,1852,Dieses Buch handeld [!] von den 12 Himmelszeichen und dessen Planeden [!] als ihre Ober-Häupter in ihrer gehörigen Wandlung ...,,,,,,,,,
105443400X,Ha,1675,Innungs-Artickel der Glaser zu Schwartzenberg,"[Kopie der Urkunde von Johann Georg Herzog von Sachsen, gegeben zu Dresden am 6. Mai 1673, mit notarieller Beglaubigung durch Johann Wilhelm Pfnauschner vom 4. Februar 1675]",,,,,,,,
1064678718,Hal,1390,Rerum senilium libri,,,,,,,,106467979X,Qd
