idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
010752080,Abvz,0000,Catalogue,,,,,,,,,
011741589,Abvz,1720,Bibliothèque germanique ou Histoire littéraire de l'Allemagne de la Suisse  et des Pays du Nord,,,,,1059583976,,,,
011874732,Abvz,1725,"Bibliotheca chemica, oder catalogus von chymischen Büchern, darinnen man alle diejenigen autores findet ... und in der Roth-Scholtzischen Bibliothèque vorhanden seyn",,,,,,,,,
011876115,Abvz,1768,Nachrichten von Künstlern und Kunst-Sachen,,,,,980031907,,,,
011898704,Abvz,1762,"Altes aus allen Theilen der Geschichte, oder alte Urkunden, alte Briefe, und Nachrichten von alten Büchern, mit Anmerkungen",,,,,1059588439,,,,
011925582,Abvz,1733,Kurtze Nachricht von den Büchern und deren Urhebern in der Stollischen Bibliothec,,,,,1069969281,,,,
011927712,Abvz,1784,"Verzeichnis neuer Bücher, welche in der Leipziger ...-Messe und von andern Ländern angeschaffet worden und um beygesetzte billige Preise zu bekommen sind zu Göttingen bey der Wittwe Vandenhöck",,,,,,,,,
011978910,Abvz,1756,Brittische Bibliothek,,,,,986959367,,,,
011987162,Abvz,1723,"Der @durchlauchtigen Welt ... neu vermehrter und verbesserter Geschichts-, Geschlechts- und Wappen-Calender",auf d. Jahr ...,,,,1046058630,,,,
012370991,Abvz,1746,"Nouvelle bibliothèque germanique ou histoire littéraire de l'Allemagne, de la Suisse et des pays du Nord",,,,,1059597845,,,,
012631337,Abvz,1784,"Beyträge zur Litteratur, besonders des sechszehnten Jahrhunderts","Freunden der Kirchen-, Gelehrten- und Bücher-Geschichte gewidmet",,,,986539449,,,,
012631418,Abvz,1790,"Neue Beyträge zur Litteratur, besonders des sechszehnten Jahrhunderts","Freunden der Kirchen-, Gelehrten- und Bücher-Geschichte gewidmet",,,,98654020X,,,,
012663964,Abvz,1710,"Neuer Bücher-Saal der gelehrten Welt oder Ausführliche Nachrichten von allerhand neuen Büchern und andern Sachen, so zur neuesten Historie der Gelehrsamkeit gehören",,,,,987063480,,,,
012705934,Abvz,1752,Siegm. Jac. Baumgartens Nachrichten von merkwürdigen Büchern,,,,,1059621363,,,,
012706442,Abvz,1776,Musen-Almanach,,,,,1059621398,,,,
