idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
010002375,Abvz,1799,Annalen der Physik,,,,,019727577,026616149,,,
010607846,Abvz,1717,Magdeburgische Zeitung,Anhalter Anzeiger,,,,1046542621,,,,
01072849X,Abvz,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012112070,1093416165,,,
01072849X,Abvz,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,011992050,1093416165,,,
01072849X,Abvz,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012114278,1093416165,,,
01072849X,Abvz,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012112062,1093416165,,,
01072849X,Abvz,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012112054,1093416165,,,
01072849X,Abvz,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,012112046,1093416165,,,
01072849X,Abvz,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,019346891,1093416165,,,
01072849X,Abvz,1814,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,013653830,1093416165,,,
010743367,Abvz,1827,Theodulia,Jahrbuch für häusliche Erbauung,,,,1059505959,,,,
010747990,Abvz,1828,Karlsruher Unterhaltungsblatt,"e. für alle Stände, Jung u. Alt, interessantes u. belehrendes Bilderwerk",,,,,1239925964,011974265,,
011136510,Abvz,1828,Vielliebchen,historisch-romantisches Taschenbuch,,,,1046054813,,,,
011164743,Abvz,1797,Magazin für den neuesten Zustand der Naturkunde mit Rücksicht auf die dazugehörigen Hülfswissenschaften,,,,,990921700,,,,
011164743,Abvz,1797,Magazin für den neuesten Zustand der Naturkunde mit Rücksicht auf die dazugehörigen Hülfswissenschaften,,,,,997455047,,,,
011166762,Abvz,1810,Urania,Taschenbuch auf das Jahr ...,,,,1016762895,,,,
011167998,Abvz,1799,Taschenbuch für Damen,auf das Jahr ..,,,,977723577,,,,
011167998,Abvz,1799,Taschenbuch für Damen,auf das Jahr ..,,,,1021202924,,,,
011168110,Abvz,1830,Historisches Taschenbuch,,,,,1016762127,,,,
011201509,Abvz,1817,Reformations-Almanach,auf das Jahr ...,,,,1047432420,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012764744,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012764760,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012764752,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,011251514,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012764779,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,011251522,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,012765775,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,011251530,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,1068660104,,,,
01122164X,Abvz,1763,Almanach de Gotha,"annuaire généalogique, diplomatique et statistique",,,,025971123,,,,
011221844,Abvz,1811,Alpenrosen,auf das Jahr ..,,,,1023358727,,014499916,,
011244518,Abvz,1765,Allgemeine deutsche Bibliothek,,,,,025303007,02702105X,,,
011290617,Abvz,1820,Polytechnisches Journal,,,,,991867076,,,,
011730293,Abvz,1823,The @Edinburgh almanack or universal Scots and Imperial register,,,,,,,,,
011750200,Abvz,1811,Le @moniteur universel,,,,,019234368,,,,
011750200,Abvz,1811,Le @moniteur universel,,,,,018687571,,,,
011750200,Abvz,1811,Le @moniteur universel,,,,,1046549561,,,,
011879556,Abvz,1815,Haushaltungs-Kalender,"auf d. Gemein-Jahr ... ; für die Königl. Preußischen Provinzen Brandenburg, Pommern u. Sachsen",,,,,,,,
011898739,Abvz,1814,"Die @Ameise oder Bemerkungen, Charakterzüge und Anekdoten auch Schlachtberichte vom Kriegsschauplatze im Jahr 1812 bis 15",,,,,1059588447,,,,
01192571X,Abvz,1737,Jo. Georgii Schelhornii amoenitates historiae ecclesiasticae et literariae,quibus variae observationes ... exhibentur,,,,,,,,
011947144,Abvz,1829,La @mode,"revue des modes, galerie de moeurs, album des salons",,,,,025965875,,,
011987162,Abvz,1723,"Der @durchlauchtigen Welt ... neu vermehrter und verbesserter Geschichts-, Geschlechts- und Wappen-Calender",auf d. Jahr ...,,,,1046058630,,,,
012004758,Abvz,1810,Leipziger Zeitung,Amtsblatt des Königlichen Landgerichts und des Königlichen Amtsgerichts Leipzig sowie der Königlichen Amtshauptmannschaft Leipzig,,,,,105959305X,,,
012167819,Abvz,1819,Cellische Nachrichten für Landwirthe besonders im Königreich Hannover,,,,,,1256749699,,,
012169234,Abvz,1810,Rheinisches Taschenbuch auf das Jahr ...,,,,,012715751,,,,
012169234,Abvz,1810,Rheinisches Taschenbuch auf das Jahr ...,,,,,01271576X,,,,
012169234,Abvz,1810,Rheinisches Taschenbuch auf das Jahr ...,,,,,1016668473,,,,
012171565,Abvz,1799,Niederrheinisches Taschenbuch für Liebhaber des Schönen und Guten,,,,,992238919,,,,
012187747,Abvz,1826,Jahrbücher für Philologie und Pädagogik,eine krit. Zeitschr.,,,,1059596202,,,,
01241204X,Abvz,1822,"The @mirror of literature, amusement and instruction",containing original essays,,,,985499680,,,,
012604143,Abvz,1817,Almanach für Privatbühnen,auf das Jahr ..,,,,1059603152,,,,
012613657,Abvz,1797,Neues Taschenbuch für Aerzte und Nichtärzte,,,,,986474479,,,,
012618284,Abvz,1820,Literarisches Conversationsblatt,,,,,,1037013204,,,
012650080,Abvz,1749,Dreßdnische Frag- und Anzeigen,,,,,,1220800694,,,
012656186,Abvz,1824,Amts- und Nachrichtenblatt für das Fürstentum Gera,,,,,1033832618,,,,
012671606,Abvz,1830,Allgemeiner Anzeiger und Nationalzeitung der Deutschen,"der öffentlichen Unterhaltung über gemeinnützige Gegenstände aller Art gewidmet, zugleich allgemeines deutsches Intelligenzblatt zum Behuf der Rechtspflege, der Polizei, des Handels und der Gewerbe, so wie des bürgerlichen Verkehrs überhaupt",,,,1059605562,,,,
012700797,Abvz,1827,Vergißmeinnicht,"Taschenbuch der Liebe, der Freundschaft und dem Familienleben des deutschen Volkes",,,,1016800274,,,,
012707783,Abvz,1830,Musenalmanach,für d. Jahr ...,,,,1059621452,,,,
012707791,Abvz,1824,Orphea,Taschenbuch für ...,,,,,1176573977,,,
012718939,Abvz,1818,Vergißmeinnicht,ein Taschenbuch,,,,,,,,
012718947,Abvz,1827,Rosen,ein Taschenbuch,,,,1016714793,,,,
012729035,Abvz,1816,Cornelia,Taschenbuch für deutsche Frauen,,,,,,,,
012729035,Abvz,1816,Cornelia,Taschenbuch für deutsche Frauen,,,,1016867034,,,,
01273036X,Abvz,1777,Eyn @feyner kleyner Almanach,"Vol schönerr echterr liblicherr Volckslieder, lustigerr Reyen vnndt kleglicherr Mordgeschichten",,,,,1067438459,,,
012731757,Abvz,1799,Taschenbuch für Forst- und Jagdfreunde,für die Jahre ...,,,,1046081519,,,,
012764752,Abvz,1824,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,01122164X,,,,
012764752,Abvz,1824,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,012764833,,,,
012764752,Abvz,1824,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,1046550012,,,,
012765198,Abvz,1825,Berliner Kalender,für ...,,,,1059625040,,,,
012766623,Advz,1817,Neuer Schauplatz der Künste und Handwerke,"mit Berücksichtigung der Neuesten Erfindungen herausgegeben von einer Gesellschaft von Künstlern, Technologen und Professionisten",,,,010422943,,,,
012766623,Advz,1817,Neuer Schauplatz der Künste und Handwerke,"mit Berücksichtigung der Neuesten Erfindungen herausgegeben von einer Gesellschaft von Künstlern, Technologen und Professionisten",,,,1116095688,,,,
012797847,Abvz,1823,Huldigung den Frauen,ein Taschenbuch,,,,1059626527,,,,
012805017,Abvz,1814,Aglaja,ein Taschenbuch für das Jahr ..,,,,1046049747,,,,
012807265,Abvz,1784,Patriotisches Archiv für Deutschland,,,,,989290956,,,,
012903159,Abvz,1810,Almanach aus Rom,für Künstler und Freunde der bildenden Kunst und klassischen Literatur,,,,,1059630109,,,
012943282,Abvz,1811,Hertha,Germaniens Schutzgeist ; ein Jahrbuch für ...,,,,,,,,
012982539,Abvz,1820,Die @Vorzeit,ein Taschenbuch für d. Jahr ..,,,,100593567X,,,,
01298406X,Abvz,1811,Penelope,Taschenbuch d. Häuslichkeit u. Eintracht gewidmet auf d. Jahr ...,,,,980512999,,,,
012996521,Abvz,1824,Fortuna,ein Taschenbuch für d. Jahr ..,,,,1046054163,,,,
01300851X,Abvz,1794,Gemeinnütziger Almanach,für das Jahr ...,,,,1059632721,,,,
013019635,Abvz,1727,Kurtz-gefasster historischer Nachrichten zum Behuf der neuern europäischen Begebenheiten ... Stück,auf das Jahr ..,,,,1046058673,,,,
01303541X,Abvz,1822,Der @sächsische Trompeter,eine Monatsschr. d. neuesten u. merkwürdigsten Weltbegebenheiten ; nebst e. Anhang zur Belehrung u. Unterhaltung,,,,1041940513,,,,
013056638,Abvz,1825,Deutscher Regenten-Almanach,auf das Jahr ... ; historisch-biographische Gallerie der jetzt regierenden hohen Häupter,,,,1059634198,,,,
01309842X,Abvz,1762,Historisch-genealogischer Kalender,auf d. Gemein-Jahr ...,,,,013253484,,,,
01309842X,Abvz,1762,Historisch-genealogischer Kalender,auf d. Gemein-Jahr ...,,,,1059635127,,,,
013220837,Abvz,1816,Taschenbuch vom K.K.P. Theater in der Leopoldstadt,,,,,1095798715,,,,
01346468X,Abvz,1818,"Taschenbuch der Wunder und Seltenheiten in der Natur, der Kunst und im Menschenleben",,,,,,,,,
013589210,Abvz,1824,Allgemeiner Volks-Kalender,auf das Jahr ...,,,,,1080873007,,,
013589806,Abvz,1812,Selam,ein Almanach für die Freunde des Mannigfaltigen,,,,1059639521,,,,
013617478,Abvz,1827,The @Keepsake,,,,,1046540610,,,,
013739948,Abvz,1828,Pantheon,eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa's,,,,,,,,
013882716,Abvz,1799,"Almanach der Fortschritte, neuesten Erfindungen und Entdeckungen in Wissenschaften, Künsten, Manufakturen und Handwerken",,,,,1046548662,,,,
013886487,Abvz,1824,Genealogisch-historisch-statistischer Almanach,auf das Jahr ...,,,,1046550152,,,,
013886509,Abvz,1813,Deutsche Blätter,,,,,,104605306X,,,
013896296,Abvz,1815,Opern-Almanach,für das Jahr ...,,,,1046050028,,,,
014044234,Abvz,1811,Curiositäten der physisch-literarisch-artistisch-historischen Vor- und Mitwelt,zur angenehmen Unterhaltung für gebildete Leser,,,,990644847,,,,
014897539,Abvz,1830,Der @Blumen-Gärtner,e. Zeitschrift für Blumen-Freunde,,,,,,,,
014921111,Abvz,1819,Taschenbuch zum geselligen Vergnügen,,,,,1149085916,,,,
014921111,Abvz,1819,Taschenbuch zum geselligen Vergnügen,,,,,015293629,,,,
014921111,Abvz,1819,Taschenbuch zum geselligen Vergnügen,,,,,012723878,,,,
015079805,Abvz,1816,Novine srbske u Vieni,,,,,,,,,
015160882,Abvz,1731,Staats- und gelehrte Zeitung des Hamburgischen unpartheyischen Correspondenten,mit allergnädigster Kayserlicher Freyheit,,,,,98214055X,,,
01516568X,Abvz,1827,Kalender für den sächsischen Berg- und Hüttenmann,,,,,026792451,,,,
015220761,Abvz,1828,Bilderchronik des Sächsischen Kunstvereins,,,,,1022671448,,,,
015307212,Abvz,1810,Petit almanach de la Cour de France,,,,,,,,,
015364348,Abvz,1823,Der @Frühlingsbote,,,,,1046551329,,,,
016071484,Abvz,1781,Le @politique hollandais,,,,,,,,,
016634543,Abvz,1799,Pharmacopoea borussica,,,,,010634967,,,,
016634543,Abvz,1799,Pharmacopoea borussica,,,,,992037085,,,,
016634543,Abvz,1799,Pharmacopoea borussica,,,,,1010353977,,,,
017966760,Abvz,1813,Der @Deutsche,Sondershäuser Zeitung,,,,014915529,,,,
018017118,Abvz,1817,Allergnädigst privilegirtes Leipziger Tageblatt,,,,,1080873694,,,,
018075606,Abvz,1820,Der @erzgebirgische Volksfreund,eine Monatsschrift zur Belehrung und Unterhaltung für den Bürger und Landm ann,,,,1035392003,,,,
018328814,Abvz,1826,Neuer concessionirter Wirthschafts- und Historien-Kalender,,,,,,,,,
018417620,Abvz,1814,Erinnerungs-Blätter für gebildete Leser aus allen Ständen,,,,,1059508532,,,,
018434126,Abvz,1828,Neue Bildergallerie für die Jugend,,,,,1037095154,,,,
018622348,Abvz,1749,"Mecklenburgische Nachrichten, Fragen und Anzeigen",,,,,,,,,
018849431,Abvz,1814,Hommage aux dames,,,,,,,,,
018873677,Abvz,1824,Neuer Haus- und Schreibkalender,auf das Schalt-Jahr,,,,,,,,
01888511X,Abvz,1823,Merkwürdiger Geschichtskalender,auf das Jahr ..,,,,,,,,
018941133,Abvz,1826,Unterhaltender Kalender,auf das Jahr ...; mit Kgl. Sächsischem allergnädigsten Privilegium und unter der Universität Aufsicht,,,,,,,,
018970842,Abvz,1769,Vollständige Auszüge aus den besten chirurgischen Dispüten aller Akademien,"nebst Anzeigen der neuesten chirurgischen Bücher, und einem Anhange chirurgischer Neuigkeiten",,,,1026349591,,,,
018996949,Abvz,1823,"Verbesserter und alter Kalender auf das Gemeinjahr ... für die Königlich Preußischen Provinzen Brandenburg, Pommern und Sachsen",,,,,,1164113364,,,
019137532,Abvz,1823,Belehrender Volksfreund aus der Länder- und Völkerkunde und Geschichte für den Bürger und Landmann,,,,,,,,,
019349513,Abvz,1814,Allgemein verbesserter Volks-Kalender,,,,,,,,,
019491581,Abvz,1826,Volksspiegel zur Lehr' und Besserung,,,,,,,,,
019775210,Abvz,1779,Kleine Kinderbibliothek,,,,,1021495794,,,,
019921195,Abvz,1797,Taschenkalender,auf das Jahr ...,,,,,,,,
023271469,Abvz,1826,Geschäftstagebuch für praktische Heilkünstler,auf das Jahr ..,,,,,,,,
024628565,Abvz,1830,Vorbilder für Fabrikanten und Handwerker,,,,,,,,,
024873195,Abvz,1817,Almanach lustiger Schwänke für die Bühne,,,,,,,,,
025756230,Advz,1826,Die @Geschichte unserer Zeit,,,,,,,,,
361759703,Aal,1815,Schloss Wartburg,Ein Beytr. zur Kunde der Vorzeit,,,,,,,,
362404828,Aal,1814,Sachsens Verwüstung durch die Franzosen 1813,ein Beitr. zur Geschichte der Zeit,,,,,,,,
365013110,Aal,1818,Hagbarth und Signe,Trauersp.,,,,,,,,
365684813,Aal,1813,Leipzigs Schreckensszenen im September und Oktober 1813,"Zur Erinnerg f. seine Bürger, zur Nachricht f. Auswärtige",,,,,,,,
365847410,Afl,1817,Foxe,John,"Das @christliche Märtyrerthum oder Geschichte v. d. Leben, d. Leiden u. d. Tode d. christl. Märtyrer in allen Theilen d. Erde",T. [1].,,,,,,
366163744,Afl,1830,,,Heliand oder die altsächsische Evangelien-Harmonie,Lfg 1.,Text,,,,,
366175343,Afl,1826,,,Historiarum libri IX,Vol. 2,,,,,,
366741829,Afl,1822,Mannert,Conrad,Geographie der Griechen und Römer,T. 8.,"Geographie des nördlichen Griechenlandes, des Peloponneses u. d. Inseln d. Archipelagus",,,,,
366741837,Afl,1812,Mannert,Conrad,Geographie der Griechen und Römer,T. 7.,"Thracien, Illyrien, Macedonien, Thessalien, Epirus",,,,,
367565072,Afl,1819,Pestalozzi,Johann Heinrich,Sämmtliche Schriften,Bd. 1.,Lienhard und Gertrud. - Theil 1,,,,,
572010907,Aal,1811,Anweisung zum Rechnen für sächsische Dorfschulen,,,,,,,,,
57287264X,Aal,1829,"[Christian Friedrich] Dinter's Leben, von ihm selbst beschreiben; ein Lesebuch für Aeltern u. Erzieher ...",Mit e. Facs.,,,,,,,,
573258651,Aal,1818,Der @gegenseitige Unterricht,"Geschichte seiner Einführung u. Ausbreitung durch Dr. A. Bell, J. Lancaster u. a. ; Ausführl. Beschreibung seiner Anwendung ; Mit 12 Kupfern u. d. Bildn. von Bell u. Lancaster in Steindr.",,,,,,,,
