idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
011182261,Abvz,1812,Rang- und Quartier-Liste der Königlich-Preußischen Armee und des XIII. (Königlich-Württembergischen) Armeekorps,für ... ; mit Dienstalters-Listen der Generalität und der Stabsoffiziere ... ; nach dem Stande vom ...,,,,1046541269,,,,
012715581,Abvz,1824,Staats- und Adresskalender für das Königreich Hannover,,,,,1059622246,,,,
012807265,Abvz,1784,Patriotisches Archiv für Deutschland,,,,,989290956,,,,
012982539,Abvz,1820,Die @Vorzeit,ein Taschenbuch für d. Jahr ..,,,,100593567X,,,,
013124277,Abvz,1830,Verhandlungen des Kurhessischen Landtages,,,,,1059635585,,,,
981696260,Aa,1819,"Ueber deutsches Universitätswesen, mit Rücksicht auf Kotzebue's literarisches Wochenblatt und gewaltsamen Tod",aus dem 3. Stücke des Hermes abgedruckt,,,,,,,,
983660832,Aa,1770,Pobožne bratstwo téch Wumraczéch ha Wotwumretéch pod tém napißom ...,,,,,,,,,
98902198X,Af,1607,,,Operum Aristotelis Stagiritae philosophorum omnium longè principis nova editio,T. 1,,,,,,
993915019,Hal,1817,Album oder Stammbuch aus dem Verwandtenkreis der preußischen Königsfamilie zur Zeit Friedrich Wilhelm III. [1797-1840] und des Zaren Alexander I. von Rußland [1777-1825],,,,,,,,,
99437464X,Aal,1729,Buchbinder-Gesellenbuch pro Anno MDCCXXVIIII,,,,,,,,,
994405715,Aal,1618,"Quorum prior Psalmos Davidicos, posterior hymnos Dominicales et feriales continet",Acc. e Cantica Canticorum in Odaria LIII. necnon Melodiae pro omnibus Psalmis ... ,,,,,,,,
994425163,Aal,1792,"Oi @toi Kallimachoy Kyrenaioy Ymnoi te, kai epigrammata",[Inni di Callimaco Cirenese cogli epigrammi,,,,,,,,
994578989,Aal,1823,Beicht- und Communion-Buch von Johann Friedrich Heinrich Cramer,,,,,,,,,
994669410,Afl,1818,,,La @divina Commedia di Dante Alighieri. Col comento di G. Biagioli,1.,Inferno,,,,,
994669429,Afl,1819,,,La @divina Commedia di Dante Alighieri. Col comento di G. Biagioli,2.,Purgatorio,,,,,
994953380,Aal,1823,Considérations sur les moeurs de ce siècle suivies des Mémoires sur les moeurs,,,,,,,,,
995291322,Pal,1540,[Einbandhülle zu einem Reformationsband],"[Schweinsleder über Holzdeckel, Blinddruck]",,,,,,,,
995383065,Aal,1767,"Episteln und Evangelia auf alle Sonn- und Festtage, wie auch Apostel-Tage, durchs ganze Jahr",nach der Mecklenburgischen Kirchen-Ordnung eingerichtet,,,,,,,,
995406758,Aal,1799,Der @französische Eulenspiegel in Ägypten,,,,,,,,,
996220089,Aal,1829,Gesangbuch zum gottesdienstlichen Gebrauch für evangelische Gemeinen,,,,,,,,,
996221638,Aal,1771,"Geistliches neu-vermehrtes altenburgisches Gesang- und Gebetbuch, in sich haltend den Kern alter und neuer ... Lieder ...",,,,,,,,,
996225838,Aal,1824,Merseburgisches Gesang-Buch,,,,,,,,,
99622727X,Aal,1799,Neuvermehrtes Altenburgisches Gesang- und Gebethbuch ...,,,,,,,,,
996856285,Aal,1767,"Anhang einiger Gebeter auf alle Tage in der Wochen, ... genommen aus Johann Habermanns geistreichem Gebet-Buch, nebst dem sonntäglichen öffentlichen Kirchengebet, wie auch demjenigen, weches an denen Buß- und Bettagen in denen Mecklenburgischen Kirchen gebräuchlich",,,,,,,,,
997037318,Pal,1550,"Grolier-Einband, Frankreich Mitte 16. Jahrhundert, mit vergoldetem Supralibros (königliches Wappen und Monogramm von Heinrich II. König von Frankreich)",,,,,,,,,
997213035,Aal,1767,"Historia des Leidens, Sterbens, der Auferstehung und Himmelfahrt Jesu Christi, wie auch der Zerstörung der Stadt Jerusalem",,,,,,,,,
997884037,Aal,1764,Mecklenburgisches Kirchen-Gesang-Buch,,,,,,,,,
998425818,Aal,1827,André le voyageuer,Histoire d'un marin,,,,,,,,
99938760X,Aal,1829,"The @poetical works of Thomas Moore including his melodies, ballads, etc",complete in one vol.,,,,,,,,
