signatur_g,titel
"IV 205, 9 l",Neue Leipziger gelehrte Zeitungen : 
"IV 8, 21",Le @cabinet des fées ou collection choisie des contes des fées et autres contes merveilleux : ornés de figures
"IV 291, 20","Observations sur l'histoire naturelle, sur la physique et sur la peinture : "
"IV 323, 7","Kritische Wälder, oder Betrachtungen, die Wissenschaft und Kunst des Schönen betreffend : "
"IV 13 A, 2",Der @Bibelfreund : e. theol. Wochenschr
"IV 90, 4","Ordnungen Hertzog Ernsten, Herzog Albrechten ... so ihre Chur und Fürstliche Gnade in Sachen Policey, Visitationen, Hoffgerichte ... belangende Ordnun"
"IV 145, 10a","Hamburgscher Kinderalmanach : auf das Jahr ..., oder Weihnachtsgeschenk für Kinder in angenehmen u. lehrreichen Unterhaltungen, die ihrer Fähigkeit an"
"IV 145, 10a","Hamburgscher Kinderalmanach : auf das Jahr ..., oder Weihnachtsgeschenk für Kinder in angenehmen u. lehrreichen Unterhaltungen, die ihrer Fähigkeit an"
"IV 179, 6",Selecta historica et literaria : 
"IV 273, 8 f","Nicolai Schmieds oder des gelehrten Bauers verbesserter und neuer Schreib-Calender : darinnen zu finden ..., die zu einem Calender gehören"
"IV 291, 20","Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts : "
"IV 291, 20 a","Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts : "
"IV 205, 8 l","Johann Hübners Supplementa zu seinen historischen, genealogischen und geographischen Fragen : "
"IV 114, 13a",Irenico polemographia sive theatri Europæi continuati ... : das ist ... historisch-aussgeführte Friedens- und Kriegs-Beschreibung von den denckwürdigs
"IV 114, 13a",Irenico polemographiæ continuatio ... : das ist der historisch-fortgeführten Friedens- und Kriegsbeschreibung ... oder des Theatri Europaei ... Theil 
"IV 205, 50",Der @Greis : 
"IV 155, 3",Verkehrter Welt-Calender : 
"IV 131, 1a","Der @Römischen Kayserlichen Majestät und deß heiligen Römischen Reichs ... Acta publica und schriftfliche Handlungen, Außschreiben, Sendbrieff, Berich"
"IV 131, 1a","Der @Römischen Kayserlichen Majestät und deß heiligen Römischen Reichs ... Acta publica und schriftfliche Handlungen, Außschreiben, Sendbrieff, Berich"
"IV 100, 12","Calender auff das Jhar Jhesu Christi ... nach Erschaffunge der Welt : in welchem die Güldenzahl 4, ... Sonnen-Circkel 21, der Römischen Keiser Zinßzah"
"IV 100, 12 a","Calender auff das Jhar Jhesu Christi ... nach Erschaffunge der Welt : in welchem die Güldenzahl 4, ... Sonnen-Circkel 21, der Römischen Keiser Zinßzah"
"IV 72, 5","Kern des ietzo florirenden Leipzigs : worinnen nicht nur überhaupt die Titul an die Universität ..., sondern auch die Nahmen derer vornehmen Personen "
"IV 16, 5 a",Schauplaz hoher Ritter-Orden : 
"IV 347, 5",Merckwürdigkeiten der neuesten Welt-Geschichten : 
