idn,titel,jahr,signatur,qd_verknuepfung_art,qd_idn
361475179,"Notitia auctorum antiqua et media, oder Leben, Schrifften, Editiones und Censuren der biblischen, und entweder noch gantz, oder auch nur in considerablen Fragmentis vorhandenen fürnehmsten griech. u. latein. Kirchen-Scholastischen- und Profan-Scribenten ...",1714,"RB XXIX, 23",DNB,361475179
361475179,"Notitia auctorum antiqua et media, oder Leben, Schrifften, Editiones und Censuren der biblischen, und entweder noch gantz, oder auch nur in considerablen Fragmentis vorhandenen fürnehmsten griech. u. latein. Kirchen-Scholastischen- und Profan-Scribenten ...",1714,"IV 434, 21a",DNB,361475179
361571771,Die @Fabrikation des Papieres aus Stroh und vielen andern Substanzen im Großen nach zahlreichen Versuchen beschrieben und mit 160 Mustern ...,1838,"RB XVI, 122",DNB,361571771
361571771,Die @Fabrikation des Papieres aus Stroh und vielen andern Substanzen im Großen nach zahlreichen Versuchen beschrieben und mit 160 Mustern ...,1838,Bb 5,DNB,361571771
361571771,Die @Fabrikation des Papieres aus Stroh und vielen andern Substanzen im Großen nach zahlreichen Versuchen beschrieben und mit 160 Mustern ...,1838,Ba 304,DNB,361571771
361571771,Die @Fabrikation des Papieres aus Stroh und vielen andern Substanzen im Großen nach zahlreichen Versuchen beschrieben und mit 160 Mustern ...,1838,Bö B II 228,DNB,361571771
361914091,Hellenika,1824,"RB XXIII, 155",DNB,361914091
361914121,Apommemoneumate,1824,"RB XXIII, 158",DNB,361914121
362195080,"Die @Fehler im nassen Kollodiumverfahren, deren Ursache und Abhilfe",1922,SB 485 - 101,DNB,362195080
362195080,"Die @Fehler im nassen Kollodiumverfahren, deren Ursache und Abhilfe",1922,Mb 21,DNB,362195080
362350663,Entelechie,1917,1921 B 188 - 1917/18,DNB,362350663
362350663,Entelechie,1917,Bö C VII 2862,DNB,362350663
362545081,Die @Religion der Zukunft,1883,1916 B 8402,DNB,362545081
36254509X,Die @Religion der Zukunft,1884,1916 B 8402,DNB,36254509X
362545103,Die @Religion der Zukunft,1889,1916 B 8402,DNB,362545103
363605681,"Die @Gesetze Hammurabis, Königs von Babylon um 2250 v. Chr.",1903,"ZB 3959 - 4,4",DNB,363605681
363605681,"Die @Gesetze Hammurabis, Königs von Babylon um 2250 v. Chr.",1903,Caa 75,DNB,363605681
365312665,Ueber die Geschichte der Erfindung der Buchdruckerkunst,1779,"RB XVI, 45",DNB,365312665
365312665,Ueber die Geschichte der Erfindung der Buchdruckerkunst,1779,Bö C IV 9,DNB,365312665
365312665,Ueber die Geschichte der Erfindung der Buchdruckerkunst,1779,Da 11,DNB,365312665
365312665,Ueber die Geschichte der Erfindung der Buchdruckerkunst,1779,241/Brei,DNB,365312665
368429156,Internationale Schwarz-Weiss-Ausstellung,1913,"ZA 26795 - 1912/13,Anh.2",DNB,368429156
368621839,,1665,1950 A 13547 - 5,DNB,368621839
368793028,Conradin von Schwaben,1800,"RB XXV, 185",DNB,368793028
36879427X,Das @musikfestliche Wien,1912,"ZA 26795 - 1912/13, Anh.1",DNB,36879427X
452623103,Sehen und Gestalten,1951,1951 B 685,DNB,452623103
452623103,Sehen und Gestalten,1951,"VIII, 372",DNB,452623103
452623103,Sehen und Gestalten,1951,D 51b/265,DNB,452623103
571691420,Die @Reflektographie für Reproduktionen ohne photographische Kamera und der anastatische Druck,1922,1923 A 1282,DNB,571691420
571691420,Die @Reflektographie für Reproduktionen ohne photographische Kamera und der anastatische Druck,1922,Mb 21,DNB,571691420
